team;teamid;league
Ionikos Nikeas;553;Super-League-1
Atromitos Athen;3060;Super-League-1
Asteras Tripolis;6676;Super-League-1
Aek Athen;2441;Super-League-1
Olympiakos Piraus;683;Super-League-1
Panathinaikos Athen;265;Super-League-1
Panetolikos Gfs;6418;Super-League-1
Aris Thessaloniki;605;Super-League-1
Pas Lamia 1964;3999;Super-League-1
Paok Thessaloniki;1091;Super-League-1
Ujpest Fc;708;Nemzeti-Bajnoksag
Gyirmot Fc Gy%C5%91R;22610;Nemzeti-Bajnoksag
Mol Fehervar Fc;11107;Nemzeti-Bajnoksag
Paksi Fc;12163;Nemzeti-Bajnoksag
Kisvarda Fc;30613;Nemzeti-Bajnoksag
Ferencvaros Budapest;279;Nemzeti-Bajnoksag
Zalaegerszegi Te Fc;1391;Nemzeti-Bajnoksag
Debreceni Vsc;84;Nemzeti-Bajnoksag
Puskas Akademia Fc;37169;Nemzeti-Bajnoksag
Budapest Honved Fc;709;Nemzeti-Bajnoksag
Mez%C5%91Kovesd Zsory Fc;24032;Nemzeti-Bajnoksag
Mtk Budapest;634;Nemzeti-Bajnoksag
Brescia Calcio;19;Serie-B
Como 1907;1047;Serie-B
Reggina 1914;1386;Serie-B
Us Lecce;1005;Serie-B
Spal;2722;Serie-B
Cosenza Calcio;4031;Serie-B
Frosinone Calcio;8970;Serie-B
Ascoli Calcio;408;Serie-B
As Cittadella;4084;Serie-B
Us Cremonese;2239;Serie-B
Ternana Calcio;1103;Serie-B
Ac Pisa 1909;4172;Serie-B
Parma Calcio 1913;130;Serie-B
Us Alessandria Calcio 1912;2721;Serie-B
Benevento Calcio;4171;Serie-B
Lr Vicenza Virtus;2655;Serie-B
Pordenone Calcio;21331;Serie-B
Ac Perugia Calcio;839;Serie-B
Ac Monza;2919;Serie-B
Fc Crotone;4083;Serie-B
Rosenborg Bk;195;Eliteserien
Stromsgodset If;2817;Eliteserien
Hamarkameratene;4309;Eliteserien
Fk Bodo Glimt;501;Eliteserien
Sarpsborg 08 Ff;10217;Eliteserien
Kristiansund Bk;21101;Eliteserien
Tromso Il;1293;Eliteserien
Molde Fk;687;Eliteserien
Fk Jerv;36224;Eliteserien
Aalesunds Fk;5619;Eliteserien
Fk Haugesund;2761;Eliteserien
Sandefjord Fotball;6399;Eliteserien
Lillestrom Sk;353;Eliteserien
Odds Bk;1058;Eliteserien
Viking Stavanger;239;Eliteserien
Valerenga Fotball;76;Eliteserien
Afc Chindia Targoviste;12680;Superliga
Cfr Cluj;7769;Superliga
Uta Arad;952;Superliga
Sepsi Osk Sf Gheorghe;54585;Superliga
Gaz Metan Media%C8%99;8104;Superliga
Cs Mioveni;11390;Superliga
Fc U Craiova 1948;1007;Superliga
Universitatea Craiova;40812;Superliga
Fc Viitorul Constan%C8%9Ba;29831;Superliga
Fc Botosani;8818;Superliga
Academica Clinceni;21475;Superliga
Fcsb;301;Superliga
Fc Voluntari;40843;Superliga
Fc Rapid 1923;455;Superliga
Fc Dinamo;312;Superliga
Acsc Fc Arges;41278;Superliga
Heart Of Midlothian Fc;43;Scottish-Premiership
St Mirren Fc;465;Scottish-Premiership
Celtic Glasgow;371;Scottish-Premiership
Dundee United Fc;1519;Scottish-Premiership
Aberdeen Fc;370;Scottish-Premiership
Glasgow Rangers;124;Scottish-Premiership
Hibernian Fc;903;Scottish-Premiership
Dundee Fc;511;Scottish-Premiership
Motherwell Fc;987;Scottish-Premiership
St Johnstone Fc;2578;Scottish-Premiership
Ross County Fc;2759;Scottish-Premiership
Livingston Fc;1241;Scottish-Premiership
Ifk Goteborg;801;Allsvenskan
If Elfsborg Boras;1101;Allsvenskan
Kalmar Ff;3654;Allsvenskan
Bk Hacken;1109;Allsvenskan
Gif Sundsvall;2843;Allsvenskan
Helsingborgs If;699;Allsvenskan
Ifk Norrkoping;2844;Allsvenskan
Djurgardens If;1044;Allsvenskan
Degerfors If;3641;Allsvenskan
Ifk Varnamo;3622;Allsvenskan
Malmo Ff;496;Allsvenskan
Ik Sirius;7945;Allsvenskan
Hammarby If;1059;Allsvenskan
Varbergs Bois;10507;Allsvenskan
Mjallby Aif;2719;Allsvenskan
Aik Solna;272;Allsvenskan
Fc Zurich;260;Super-League
Fc Lausanne Sport;527;Super-League
Fc St Gallen 1879;257;Super-League
Bsc Young Boys;452;Super-League
Servette Fc;61;Super-League
Grasshopper Club Zurich;504;Super-League
Fc Basel 1893;26;Super-League
Fc Lugano;2790;Super-League
Fc Sion;321;Super-League
Fc Luzern;434;Super-League
Sk Sigma Olmutz;2311;Fortuna-Liga
Fk Mlada Boleslav;5546;Fortuna-Liga
Fc Bohemians Prag 1905;715;Fortuna-Liga
Fc Hradec Kralove;1897;Fortuna-Liga
Fc Fastav Zlin;5545;Fortuna-Liga
Fc Banik Ostrau;377;Fortuna-Liga
Sk Slavia Prag;62;Fortuna-Liga
Fk Teplice;814;Fortuna-Liga
Fk Pardubice;1496;Fortuna-Liga
Mfk Karvina;13726;Fortuna-Liga
Sk Dynamo Ceske Budejovice;1321;Fortuna-Liga
Fc Viktoria Pilsen;941;Fortuna-Liga
1 Fc Slovacko;5544;Fortuna-Liga
Fc Slovan Liberec;697;Fortuna-Liga
Fk Jablonec;1322;Fortuna-Liga
Ac Sparta Prag;197;Fortuna-Liga
Pfk Ludogorets Razgrad;31614;Efbet-Liga
Botev Plovdiv;2531;Efbet-Liga
Ofk Pirin Blagoevgrad;521;Efbet-Liga
Lokomotive Plovdiv;2259;Efbet-Liga
Cherno More Varna;967;Efbet-Liga
Pfc Arda Kardzhali;40604;Efbet-Liga
Pofk Botev Vratsa;26462;Efbet-Liga
Slavia Sofia;675;Efbet-Liga
Levski Sofia;156;Efbet-Liga
Pfc Beroe Stara Zagora;6764;Efbet-Liga
Lokomotiv Sofia;730;Efbet-Liga
Tsarsko Selo Sofia;55555;Efbet-Liga
Cska 1948;61955;Efbet-Liga
Zska Sofia;208;Efbet-Liga
