Players;Values;POS;Team;ID;Num
Alexandru Cretu;0,7;Defensive Midfield;Universitatea Craiova;216661;14
David Lazar;0,7;Goalkeeper;Universitatea Craiova;168278;1
Eduard Pap;0,65;Goalkeeper;Fc Botosani;249080;1
Lovro Cvek;0,65;Defensive Midfield;Cfr Cluj;317467;40
William Baeten;0,65;Right Winger;Fc U Craiova 1948;449879;24
Razvan Oaida;0,65;Central Midfield;Fcsb;341141;26
Alexandru Chipciu;0,65;Right Winger;Cfr Cluj;64126;11
Constantin Grameni;0,65;Defensive Midfield;Fc Viitorul Constan%C8%9Ba;568578;24
Catalin Cabuz;0,65;Goalkeeper;Afc Chindia Targoviste;315442;33
Branislav Ninaj;0,65;Centre-Back;Sepsi Osk Sf Gheorghe;260979;82
Eder Gonzalez;0,65;Midfield;Sepsi Osk Sf Gheorghe;456523;14
Bogdan Racovitan;0,65;Centre-Back;Fc Botosani;804134;-
Joyskim Dawa;0,65;Centre-Back;Fc Botosani;569743;5
Stefan Vladoiu;0,65;Right-Back;Universitatea Craiova;451603;18
Bogdan Vatajelu;0,65;Left-Back;Universitatea Craiova;213246;5
Desley Ubbink;0,6;Midfield;Uta Arad;272718;20
Otto Hindrich;0,6;Goalkeeper;Cfr Cluj;744075;89
Alexi Pitu;0,6;Left Winger;Fc Viitorul Constan%C8%9Ba;547822;7
Kristian Dimitrov;0,6;Centre-Back;Cfr Cluj;351800;5
Martin Raynov;0,6;Defensive Midfield;Acsc Fc Arges;237017;71
Gabriel Iancu;0,6;Left Winger;Fc Viitorul Constan%C8%9Ba;164254;28
Mike Cestor;0,6;Centre-Back;Cfr Cluj;136744;-
Giedrius Arlauskis;0,6;Goalkeeper;Cfr Cluj;69001;-
Valentin Cretu;0,6;Right-Back;Fcsb;79507;2
Alexandru Tudorie;0,6;Centre-Forward;Sepsi Osk Sf Gheorghe;260139;9
Sebastian Mladen;0,6;Centre-Back;Fc Viitorul Constan%C8%9Ba;96790;5
Patricio Matricardi;0,6;Centre-Back;Gaz Metan Media%C8%99;283585;25
Alexandru Isfan;0,6;Right Winger;Acsc Fc Arges;672055;11
Alexandru Tiganasu;0,6;Left-Back;Fc Botosani;177661;30
Catalin Itu;0,6;Central Midfield;Cfr Cluj;464306;94
Andrei Chindris;0,6;Centre-Back;Fc Botosani;435731;-
Bogdan Mitrea;0,6;Centre-Back;Sepsi Osk Sf Gheorghe;208866;3
Cristian Costin;0,6;Right-Back;Fc Voluntari;337537;98
Daniel Popa;0,6;Forward;Afc Chindia Targoviste;341364;-
Bautista Cascini;0,55;Central Midfield;Academica Clinceni;423439;-
Marko Vukcevic;0,55;Right-Back;Uta Arad;213101;15
Eduard Florescu;0,55;Midfield;Fc Botosani;379194;27
Radu Negru;0,55;Right-Back;Fc U Craiova 1948;749104;2
Claudiu Balan;0,55;Centre-Forward;Fc U Craiova 1948;288716;9
Doru Popadiuc;0,55;Midfield;Afc Chindia Targoviste;279927;59
Victor Dican;0,55;Defensive Midfield;Fc Botosani;568540;6
Dominik Kovacic;0,5;Centre-Back;Fc U Craiova 1948;258898;4
Karlo Letica;0,5;Goalkeeper;Cfr Cluj;318707;23
Rachid Bouhenna;0,5;Centre-Back;Cfr Cluj;194790;29
Ionut Serban;0,5;Central Midfield;Acsc Fc Arges;212764;8
Plamen Iliev;0,5;Goalkeeper;Fc Dinamo;156566;-
Andrea Compagno;0,5;Centre-Forward;Fc U Craiova 1948;287255;33
Sekou Sidibe;0,5;Right Winger;Fc U Craiova 1948;409513;51
Dragos Albu;0,5;Defensive Midfield;Fc U Craiova 1948;547820;8
Cristi Barbut;0,5;Right Winger;Sepsi Osk Sf Gheorghe;262108;21
Petar Bojic;0,5;Midfield;Sepsi Osk Sf Gheorghe;162985;-
