Players;Values;POS;Team;ID;Num
Gabriel Pirani;4,5;Midfield;Fc Santos;813107;20
Jan Hurtado;4,5;Centre-Forward;Red Bull Bragantino;459115;17
Calegari;4,5;Right-Back;Fluminense Rio De Janeiro;686597;31
Paulinho;4,5;Central Midfield;Corinthians Sao Paulo;57229;15
Khellven;4,5;Right-Back;Club Athletico Paranaense;653348;13
Weverton;4,5;Goalkeeper;Se Palmeiras Sao Paulo;69400;21
Tiquinho Soares;4,5;Centre-Forward;Botafogo Rio De Janeiro;103381;9
Natan;4,0;Centre-Back;Red Bull Bragantino;735568;21
Nikao;4,0;Midfield;Fc Sao Paulo;149572;10
David Terans;4,0;Midfield;Club Athletico Paranaense;261309;20
Gustavo Mosquito;4,0;Right Winger;Corinthians Sao Paulo;636314;19
Taison;4,0;Left Winger;Sc Internacional Porto Alegre;76028;7
Renato Augusto;4,0;Central Midfield;Corinthians Sao Paulo;53058;8
Braian Romero;4,0;Centre-Forward;Sc Internacional Porto Alegre;357937;9
Hugo Souza;4,0;Goalkeeper;Flamengo Rio De Janeiro;574901;45
Jonathan Calleri;4,0;Centre-Forward;Fc Sao Paulo;284727;9
Eric Ramires;4,0;Central Midfield;Red Bull Bragantino;614328;16
Luan Candido;4,0;Left-Back;Red Bull Bragantino;432166;36
Renato Kayzer;4,0;Centre-Forward;Fortaleza Esporte Clube;404321;79
Bruno Tabata;4,0;Midfield;Se Palmeiras Sao Paulo;438202;27
Rafael Navarro;4,0;Centre-Forward;Se Palmeiras Sao Paulo;371267;29
Leo Pereira;3,5;Centre-Back;Flamengo Rio De Janeiro;288431;4
Igor Rabello;3,5;Centre-Back;Clube Atletico Mineiro;341701;16
Lucas Piazon;3,5;Midfield;Botafogo Rio De Janeiro;176485;43
Patrick;3,5;Midfield;Fc Sao Paulo;333159;88
Sandry;3,5;Central Midfield;Fc Santos;574768;6
Fabricio Bruno;3,5;Centre-Back;Flamengo Rio De Janeiro;432773;15
Carlos de Pena;3,5;Central Midfield;Sc Internacional Porto Alegre;257740;14
Edenilson;3,5;Central Midfield;Sc Internacional Porto Alegre;169052;8
Daniel;3,5;Goalkeeper;Sc Internacional Porto Alegre;530421;1
Liziero;3,5;Central Midfield;Sc Internacional Porto Alegre;401526;5
Danilo Barbosa;3,5;Defensive Midfield;Botafogo Rio De Janeiro;273438;5
Emiliano Rigoni;3,5;Right Winger;Fc Sao Paulo;282544;7
Marlon;3,5;Left-Back;Fluminense Rio De Janeiro;406675;30
Caio Alexandre;3,5;Central Midfield;Fortaleza Esporte Clube;727751;8
Lucas Halter;3,5;Centre-Back;Club Athletico Paranaense;468302;33
Santos;3,5;Goalkeeper;Club Athletico Paranaense;140811;1
Everson;3,5;Goalkeeper;Clube Atletico Mineiro;106032;22
Ramiro;3,5;Central Midfield;Corinthians Sao Paulo;258070;17
Adson;3,5;Right Winger;Corinthians Sao Paulo;868891;28
Luciano;3,5;Centre-Forward;Fc Sao Paulo;223560;11
Bruno Mendez;3,5;Centre-Back;Sc Internacional Porto Alegre;552912;22
Lucas Evangelista;3,2;Central Midfield;Red Bull Bragantino;270188;8
Rodrigo Dourado;3,0;Defensive Midfield;Sc Internacional Porto Alegre;181780;13
Adryelson;3,0;Centre-Back;Botafogo Rio De Janeiro;373433;34
Pedro Henrique;3,0;Centre-Back;Club Athletico Paranaense;329720;34
Joaquin Piquerez;3,0;Left-Back;Se Palmeiras Sao Paulo;496268;22
Vitao;3,0;Centre-Back;Sc Internacional Porto Alegre;428783;44
Hyoran;3,0;Midfield;Red Bull Bragantino;338861;10
Heitor;3,0;Right-Back;Sc Internacional Porto Alegre;670969;2
Gabriel Pereira;3,0;Right Winger;Corinthians Sao Paulo;736954;38
Alerrandro;3,0;Centre-Forward;Red Bull Bragantino;371996;9
Leo;3,0;Centre-Back;Fc Sao Paulo;403296;16
Martin Benitez;3,0;Midfield;America Futebol Clube Mg ;189418;28
Boschilia;3,0;Midfield;Coritiba Fc;288496;35
Martinelli;3,0;Central Midfield;Fluminense Rio De Janeiro;815558;38
Victor Cantillo;3,0;Defensive Midfield;Corinthians Sao Paulo;263032;24
Nahuel Bustos;3,0;Centre-Forward;Fc Sao Paulo;439629;19
John Kennedy;3,0;Centre-Forward;Fluminense Rio De Janeiro;856085;23
Fagner;3,0;Right-Back;Corinthians Sao Paulo;47592;23
Marinho;3,0;Right Winger;Flamengo Rio De Janeiro;74758;31
Keno;3,0;Left Winger;Clube Atletico Mineiro;346065;11
Robson Bambu;3,0;Centre-Back;Corinthians Sao Paulo;458715;3
Raul Gustavo;3,0;Centre-Back;Corinthians Sao Paulo;792345;34
Marlos;3,0;Right Winger;Club Athletico Paranaense;68778;10
Felipe Jonatan;3,0;Left-Back;Fc Santos;587786;3
Giuliano;3,0;Midfield;Corinthians Sao Paulo;54375;11
Eduardo Vargas;3,0;Centre-Forward;Clube Atletico Mineiro;89718;10
Michel Araujo;3,0;Right Winger;Fluminense Rio De Janeiro;482144;11
Nathan;3,0;Right-Back;Fc Santos;740273;16
Renzo Saravia;3,0;Right-Back;Botafogo Rio De Janeiro;268642;2
Matheus Babi;3,0;Centre-Forward;Club Athletico Paranaense;788861;19
Carlos Eduardo;3,0;Right Winger;Club Athletico Paranaense;363794;11
Gustavo Henrique;2,8;Centre-Back;Flamengo Rio De Janeiro;208681;2
Ze Ivaldo;2,5;Centre-Back;Club Athletico Paranaense;484848;27
Diego Costa;2,5;Centre-Back;Fc Sao Paulo;980815;4
Bryan Angulo;2,5;Centre-Forward;Fc Santos;319911;15
Mateus Vital;2,5;Midfield;Corinthians Sao Paulo;408958;21
William Pottker;2,5;Right Winger;Avai Fc Sc ;199472;90
Tiago Volpi;2,5;Goalkeeper;Fc Sao Paulo;227671;1
Victor Cuesta;2,5;Centre-Back;Botafogo Rio De Janeiro;104326;15
Renyer;2,5;Left Winger;Fc Santos;668236;47
German Conti;2,5;Centre-Back;America Futebol Clube Mg ;284321;4
Eduardo Sasha;2,5;Centre-Forward;Clube Atletico Mineiro;162883;18
Du Queiroz;2,5;Defensive Midfield;Corinthians Sao Paulo;906774;37
Emiliano Martinez;2,5;Midfield;Red Bull Bragantino;707447;32
Yago Felipe;2,5;Central Midfield;Fluminense Rio De Janeiro;346935;20
Eduardo Bauermann;2,5;Centre-Back;Fc Santos;294804;4
Gustavo Sauer;2,5;Right Winger;Botafogo Rio De Janeiro;336158;10
