Players;Values;POS;Team;ID;Num
Siebe Van Der Heyden;3,0;Centre-Back;Royale Union Saint Gilloise;400131;44
Merveille Bokadi;3,0;Centre-Back;Standard Luttich;368612;20
Edo Kayembe;3,0;Defensive Midfield;Kas Eupen;486477;-
Abdoulaye Seck;3,0;Centre-Back;Royal Antwerpen Fc;265383;30
Julien de Sart;3,0;Defensive Midfield;Kaa Gent;129592;13
Kristoffer Olsson;3,0;Central Midfield;Rsc Anderlecht;193592;20
Nurio Fortuna;3,0;Left-Back;Kaa Gent;290261;25
Hugo Cuypers;3,0;Centre-Forward;Kv Mechelen;420884;14
Aurelio Buta;3,0;Right-Back;Royal Antwerpen Fc;258039;5
Carel Eiting;2,8;Central Midfield;Krc Genk;315128;-
Birger Verstraete;2,8;Defensive Midfield;Royal Antwerpen Fc;234193;6
Loic Lapoussin;2,8;Midfield;Royale Union Saint Gilloise;533158;94
Angelo Preciado;2,5;Right-Back;Krc Genk;450241;77
Teddy Teuma;2,5;Central Midfield;Royale Union Saint Gilloise;409153;17
Liberato Cacace;2,5;Left-Back;Vv St Truiden;469211;-
Makhtar Gueye;2,5;Centre-Forward;Kv Oostende;606849;9
Isaac Kiese Thelin;2,5;Centre-Forward;Rsc Anderlecht;201311;-
Maxime D'Arpino;2,5;Central Midfield;Kv Oostende;346290;6
Bart Nieuwkoop;2,5;Right-Back;Royale Union Saint Gilloise;257987;2
Smail Prevljak;2,5;Centre-Forward;Kas Eupen;328264;9
Bas Dost;2,5;Centre-Forward;Fc Brugge;56331;29
Emmanuel Agbadou;2,5;Centre-Back;Kas Eupen;683895;22
Elisha Owusu;2,5;Defensive Midfield;Kaa Gent;395695;6
Antonio Nusa;2,5;Left Winger;Fc Brugge;894914;32
Dorian Dessoleil;2,5;Centre-Back;Rsc Charleroi;182424;-
Kaoru Mitoma;2,5;Left Winger;Royale Union Saint Gilloise;504849;18
Andrew Hjulsager;2,5;Midfield;Kaa Gent;167798;17
Marco Ilaimaharitra;2,5;Defensive Midfield;Rsc Charleroi;205550;26
Koji Miyoshi;2,5;Midfield;Royal Antwerpen Fc;295060;19
Sory Kaba;2,5;Centre-Forward;Oud Heverlee Leuven;355689;9
Isaac Mbenza;2,5;Right Winger;Rsc Charleroi;260806;7
Joseph Paintsil;2,5;Right Winger;Krc Genk;534435;28
