Players;Values;POS;Team;ID;Num
Tomasz Matuszewski;0,05;Central Midfield;Bruk Bet Termalica Nieciecza;598006;34
Jan Szpaderski;0,05;Goalkeeper;Radomiak Radom;450892;32
Bartlomiej Korbecki;0,05;Left Winger;Gornik Zabrze;628649;-
Wojciech Muzyk;0,05;Goalkeeper;Legia Warschau;385022;19
Przemyslaw Bargiel;0,05;Midfield;Slask Wroclaw;345460;27
Piotr Samiec-Talar;0,05;Midfield;Slask Wroclaw;598448;-
Antoni Mikulko;0,05;Goalkeeper;Lechia Gdansk;826506;83
Eryk Matus;0,025;Right Winger;Jagiellonia Bialystok;608928;-
Szymon Weirauch;0,025;Goalkeeper;Zaglebie Lubin;727119;22
Kacper Lepczynski;0,025;Centre-Back;Zaglebie Lubin;605804;24
Andrzej Trubeha;0,025;Centre-Forward;Jagiellonia Bialystok;385614;13
Alexander Steffen;0,025;Goalkeeper;Zaglebie Lubin;726715;-
Oliwier Hyla;0,025;Right-Back;Cracovia;895303;27
Mateusz Kowalski;0,025;Centre-Forward;Jagiellonia Bialystok;902573;-
Oskar Wojcik;0,025;Centre-Back;Cracovia;821350;-
Jan Faberski;0,025;Right Winger;Jagiellonia Bialystok;949480;34
Gabriel Kirejczyk;0,025;Centre-Forward;Piast Gliwice;910764;27
Robert Ozog;0,025;Central Midfield;Cracovia;345444;-
Bartosz Bayer;0,025;Central Midfield;Jagiellonia Bialystok;608933;38
Szymon Pankiewicz;0,025;Right-Back;Jagiellonia Bialystok;500246;-
Michal Samborski;0,025;Centre-Forward;Jagiellonia Bialystok;555069;29
Maciej Twarowski;0,025;Centre-Forward;Jagiellonia Bialystok;577588;30
Arsen Grosu;0,025;Midfield;Gornik Zabrze;863099;19
Milosz Skowronek;0,025;Centre-Back;Jagiellonia Bialystok;930192;36
Jakub Jasionek;0,025;Goalkeeper;Jagiellonia Bialystok;830417;37
Oliwier Slawinski;0,025;Centre-Forward;Zaglebie Lubin;618436;-
Rafal Adamski;0,025;Centre-Forward;Zaglebie Lubin;549982;-
Igor Drapinski;0,025;Centre-Back;Wisla Plock;704970;21
Jakub Sangowski;0,025;Centre-Forward;Warta Posen;673853;19
Albert Zerkowski;0,025;Centre-Back;Warta Posen;913684;-
Karol Borys;0,025;Midfield;Slask Wroclaw;890272;-
Filip Kramarz;0,025;Goalkeeper;Cracovia;828886;40
Marcel Blachewicz;0,025;Left-Back;Wisla Plock;720914;17
Dorian Gadek;0,025;Central Midfield;Wisla Krakau;826378;35
Olivier Wypart;0,025;Centre-Back;Slask Wroclaw;605745;41
Adrian Bukowski;0,025;Defensive Midfield;Slask Wroclaw;577597;20
Filip Gryglak;0,025;Defensive Midfield;Slask Wroclaw;795548;31
Wiktor Kaminski;0,025;Centre-Forward;Legia Warschau;702690;97
Szymon Michalski;0,025;Defensive Midfield;Slask Wroclaw;828895;37
Kacper Skwierczynski;0,025;Left Winger;Legia Warschau;826222;77
Patryk Pierzak;0,025;Central Midfield;Legia Warschau;578161;88
Igor Strzalek;0,025;Defensive Midfield;Legia Warschau;847436;86
Ramil Mustafaev;0,025;Right-Back;Legia Warschau;815387;32
Karol Noiszewski;0,025;Centre-Back;Legia Warschau;605107;-
Maciej Kikolski;0,025;Goalkeeper;Legia Warschau;807782;80
Dominik Kakolewski;0,025;Goalkeeper;Bruk Bet Termalica Nieciecza;393856;-
Marcin Szeibe;0,025;Left Winger;Warta Posen;545669;36
Jakub Goralczyk;0,025;Centre-Back;Cracovia;697549;81
Mikolaj Stangel;0,025;Central Midfield;Warta Posen;925475;37
Mikolaj Rakowski;0,025;Defensive Midfield;Warta Posen;699932;23
Kacper Masiak;0,025;Midfield;Zaglebie Lubin;717915;80
Maksym Czekala;0,025;Midfield;Lech Posen;821358;15
Tomasz Bala;0,025;Centre-Forward;Cracovia;579770;19
Filip Kocaba;0,025;Defensive Midfield;Zaglebie Lubin;820540;41
Krzysztof Wingralek;0,025;Centre-Back;Gornik Zabrze;694489;25
Konrad Guca;0,025;Defensive Midfield;Stal Mielec;938756;24
Michael Wyparlo;0,025;Defensive Midfield;Stal Mielec;858521;26
Przemyslaw Maj;0,025;Midfield;Stal Mielec;844746;16
Kacper Lukasiak;0,025;Midfield;Pogon Stettin;694428;72
Mateusz Grudzinski;0,025;Centre-Back;Radomiak Radom;514201;-
Jakub Niedbala;0,025;Defensive Midfield;Piast Gliwice;581899;67
Maksymilian Pingot;0,025;Centre-Back;Lech Posen;728420;20
Mateusz Golba;0,025;Forward;Gornik Leczna;797931;-
Maksym Gendera;0,025;Right-Back;Piast Gliwice;527609;13
Franciszek Wroblewski;0,025;Left Winger;Radomiak Radom;531390;-
Dawid Rezaeian;0,025;Right-Back;Pogon Stettin;554971;70
Tomasz Jodlowiec;0,025;Defensive Midfield;Piast Gliwice;27261;3
Bartosz Luczak;0,025;Defensive Midfield;Piast Gliwice;1006682;47
Jakub Szmatula;0,025;Goalkeeper;Piast Gliwice;29537;1
Michal Szalachowski;0,025;Centre-Forward;Gornik Leczna;1017308;-
Pedro Vieira;0,025;Centre-Forward;Rakow Czestochowa;624832;99
Wiktor Klos;0,025;Right Winger;Stal Mielec;529538;17
Jakub Madrzyk;0,025;Goalkeeper;Rakow Czestochowa;910780;39
Michal Krol;0,025;Right-Back;Gornik Leczna;461569;16
Marcel Obroslak;0,025;Midfield;Gornik Leczna;1017309;-
