Players;Values;POS;Team;ID;Num
Mame Thiam;3,0;Left Winger;Kayserispor;163053;26
Halil Dervisoglu;3,0;Centre-Forward;Galatasaray Istanbul;465606;67
Cristian Borja;3,0;Left-Back;Alanyaspor;356099;31
Joao Figueiredo;3,0;Centre-Forward;Gaziantep Fk;439343;25
Aleksandar Pesic;3,0;Centre-Forward;Fatih Karagumruk;73457;72
Emre Kilinc;3,0;Right Winger;Galatasaray Istanbul;208848;54
Guven Yalcin;3,0;Centre-Forward;Besiktas Istanbul;341019;50
Ally Samatta;3,0;Centre-Forward;Fenerbahce Istanbul;182201;-
Khouma Babacar;3,0;Centre-Forward;Alanyaspor;124902;-
Salih Ucan;3,0;Central Midfield;Istanbul Basaksehir Fk;170838;48
Majid Hosseini;3,0;Centre-Back;Kayserispor;294767;5
Ahmed Hassan;3,0;Centre-Forward;Konyaspor;184816;9
Emirhan Ilkhan;3,0;Central Midfield;Besiktas Istanbul;743091;65
Joao Novais;3,0;Central Midfield;Alanyaspor;228940;18
Dimitrios Goutas;3,0;Centre-Back;Sivasspor;191829;6
Max Gradel;3,0;Left Winger;Sivasspor;28140;7
Alex Teixeira;2,9;Midfield;Besiktas Istanbul;66515;90
Stefano Okaka;2,9;Centre-Forward;Istanbul Basaksehir Fk;35249;77
Ahmetcan Kaplan;2,8;Centre-Back;Trabzonspor;662131;70
Umut Gunes;2,8;Midfield;Alanyaspor;422203;6
Onur Bulut;2,8;Right-Back;Kayserispor;152733;27
Soner Dikmen;2,8;Central Midfield;Konyaspor;291750;14
Marcel Tisserand;2,8;Centre-Back;Fenerbahce Istanbul;170463;32
Tayyip Sanuc;2,8;Centre-Back;Adana Demirspor;462772;2
Nacer Chadli;2,8;Left Winger;Istanbul Basaksehir Fk;59631;11
Gokdeniz Bayrakdar;2,8;Right Winger;Antalyaspor;345105;41
Mario Balotelli;2,8;Centre-Forward;Adana Demirspor;45146;9
Amar Rahmanovic;2,8;Midfield;Konyaspor;166086;8
Fousseni Diabate;2,7;Right Winger;Giresunspor;364861;18
Javi Montero;2,7;Centre-Back;Besiktas Istanbul;396333;4
Deniz Turuc;2,7;Midfield;Istanbul Basaksehir Fk;216662;23
Alassane Ndao;2,7;Right Winger;Antalyaspor;569777;28
Arijanet Muric;2,6;Goalkeeper;Adana Demirspor;371021;49
Ugur Ciftci;2,6;Left-Back;Sivasspor;172163;3
Joel Pohjanpalo;2,5;Centre-Forward;Caykur Rizespor;173491;20
Abdoulaye Toure;2,5;Midfield;Fatih Karagumruk;181382;94
Serdar Aziz;2,5;Centre-Back;Fenerbahce Istanbul;44996;4
DeAndre Yedlin;2,5;Right-Back;Galatasaray Istanbul;255916;-
Andrea Bertolacci;2,5;Central Midfield;Fatih Karagumruk;99227;-
Gunay Guvenc;2,5;Goalkeeper;Gaziantep Fk;114422;1
Haji Wright;2,5;Centre-Forward;Antalyaspor;315291;9
Muhammed Gumuskaya;2,5;Midfield;Giresunspor;558727;21
Mounir Chouiar;2,5;Left Winger;Yeni Malatyaspor;355641;-
Fabio Borini;2,5;Left Winger;Fatih Karagumruk;96754;16
Marek Hamsik;2,5;Central Midfield;Trabzonspor;38593;17
Paul Mukairu;2,5;Left Winger;Antalyaspor;667914;-
Enner Valencia;2,4;Centre-Forward;Fenerbahce Istanbul;139503;13
Bruno Peres;2,4;Right-Back;Trabzonspor;148751;33
Adil Demirbag;2,3;Centre-Back;Konyaspor;354173;4
Jure Balkovec;2,3;Left-Back;Fatih Karagumruk;181410;29
Benjamin Tetteh;2,3;Centre-Forward;Yeni Malatyaspor;306382;30
Bernard Mensah;2,3;Midfield;Kayserispor;324321;43
