Players;Values;POS;Team;ID;Num
Eric Larsson;0,8;Right-Back;Malmo Ff;146774;2
Loret Sadiku;0,8;Defensive Midfield;Hammarby If;116611;18
Vincent Thill;0,8;Midfield;Aik Solna;316760;17
Rasmus Schuller;0,8;Midfield;Djurgardens If;72266;6
Leo Bengtsson;0,8;Left Winger;Bk Hacken;323325;7
Robin Tihi;0,8;Centre-Back;Ifk Varnamo;579288;3
Abdul Khalili;0,8;Central Midfield;Hammarby If;154414;17
Moustafa Zeidan;0,8;Midfield;Ik Sirius;315474;23
Jeppe Andersen;0,8;Defensive Midfield;Hammarby If;148345;8
Jacob Ortmark;0,8;Central Midfield;Ik Sirius;303468;12
Sotirios Papagiannopoulos;0,75;Centre-Back;Aik Solna;97616;4
Jo Inge Berget;0,75;Right Winger;Malmo Ff;73323;32
Mohamed Buya Turay;0,75;Centre-Forward;Malmo Ff;340745;33
Kristoffer Nordfeldt;0,75;Goalkeeper;Aik Solna;75890;15
Warner Hahn;0,75;Goalkeeper;Ifk Goteborg;111180;1
Abdelrahman Saidi;0,75;Left Winger;Degerfors If;492104;19
Christian Kouakou;0,75;Centre-Forward;Ik Sirius;183143;9
Simon Thern;0,75;Central Midfield;Ifk Goteborg;116614;21
Ismael Diawara;0,75;Goalkeeper;Malmo Ff;322107;-
Tobias Sana;0,7;Left Winger;Ifk Goteborg;75901;22
Franz Brorsson;0,7;Centre-Back;Malmo Ff;271773;31
Simon Sandberg;0,7;Right-Back;Hammarby If;214621;2
Emmanuel Lomotey;0,7;Defensive Midfield;Malmo Ff;560465;40
Mads Fenger;0,7;Centre-Back;Hammarby If;100980;13
Eman Markovic;0,7;Left Winger;Ifk Goteborg;374321;6
Blair Turgott;0,7;Centre-Forward;Bk Hacken;134426;20
Joel Asoro;0,7;Right Winger;Djurgardens If;375391;10
Jacob Widell Zetterstrom;0,7;Goalkeeper;Djurgardens If;549440;35
Johan Hammar;0,7;Centre-Back;Bk Hacken;156937;3
Carlos Moros;0,7;Centre-Back;Mjallby Aif;498223;17
Simon Skrabb;0,7;Right Winger;Kalmar Ff;187047;11
Anthony van den Hurk;0,7;Centre-Forward;Helsingborgs If;226100;9
Ricardo Friedrich;0,7;Goalkeeper;Kalmar Ff;372201;1
Piotr Johansson;0,7;Right-Back;Kalmar Ff;223861;-
Samuel Brolin;0,7;Goalkeeper;Mjallby Aif;398971;35
Adi Nalic;0,7;Midfield;Malmo Ff;332875;22
Marcus Mathisen;0,7;Centre-Back;Ik Sirius;268216;6
Henrik Castegren;0,6;Centre-Back;Ifk Norrkoping;253159;-
Diego Campos;0,6;Midfield;Degerfors If;379892;8
Erik Ring;0,6;Left Winger;Aik Solna;677298;34
Daniel Eid;0,6;Midfield;Ifk Norrkoping;471127;20
Marcus Antonsson;0,6;Centre-Forward;Ifk Varnamo;171676;14
Lars Saetra;0,6;Centre-Back;Kalmar Ff;128041;39
Filip Rogic;0,6;Central Midfield;Ik Sirius;217069;7
Dennis Collander;0,6;Central Midfield;Hammarby If;527336;14
Oscar Jansson;0,6;Goalkeeper;Ifk Norrkoping;45628;1
Besard Sabovic;0,6;Central Midfield;Djurgardens If;322077;14
Jean Carlos;0,6;Midfield;Ifk Norrkoping;520380;36
Douglas Bergqvist;0,6;Centre-Back;Kalmar Ff;186044;-
Joe Corona;0,6;Central Midfield;Gif Sundsvall;162940;30
Hosam Aiesh;0,6;Right Winger;Ifk Goteborg;220550;8
Alfie Whiteman;0,6;Goalkeeper;Degerfors If;282823;1
Tobias Heintz;0,6;Left Winger;Bk Hacken;329714;-
Adam Carlen;0,6;Midfield;Degerfors If;675844;21
Mikkel Rygaard;0,6;Central Midfield;Bk Hacken;51349;18
Tashreeq Matthews;0,6;Left Winger;Ik Sirius;512980;23
Amir Al-Ammari;0,6;Central Midfield;Ifk Goteborg;303766;6
Jacob Bergstrom;0,6;Forward;Mjallby Aif;554726;16
Casper Widell;0,6;Centre-Back;Helsingborgs If;605395;3
Ibrahim Sadiq;0,6;Right Winger;Bk Hacken;543501;37
Matej Chalus;0,55;Centre-Back;Malmo Ff;321178;23
Luke Le Roux;0,55;Central Midfield;Varbergs Bois;467616;8
Niklas Hult;0,5;Left-Back;If Elfsborg Boras;113039;23
Christos Gravius;0,5;Central Midfield;Degerfors If;297370;11
Sveinn Aron Gudjohnsen;0,5;Centre-Forward;If Elfsborg Boras;332527;11
Oscar Johansson;0,5;Midfield;Ifk Varnamo;270855;9
Ivan Kricak;0,5;Centre-Back;Mjallby Aif;385118;15
Emmanuel Boateng;0,5;Central Midfield;If Elfsborg Boras;477477;26
Adam Hellborg;0,5;Defensive Midfield;Ik Sirius;322066;2
Taha Ali;0,5;Right Winger;Helsingborgs If;731771;-
Lucas Lingman;0,5;Central Midfield;Helsingborgs If;322994;19
Marko Johansson;0,5;Goalkeeper;Malmo Ff;316983;30
Noah Soderberg;0,5;Midfield;If Elfsborg Boras;625001;28
Giannis Anestis;0,5;Goalkeeper;Ifk Goteborg;191853;-
Sebastian Larsson;0,5;Central Midfield;Aik Solna;31720;7
Yasin Ayari;0,5;Central Midfield;Aik Solna;667287;26
Joel Nilsson;0,5;Right Winger;Hammarby If;223912;22
Even Hovland;0,5;Centre-Back;Bk Hacken;41875;5
Dennis Widgren;0,5;Left-Back;Hammarby If;217197;3
Rasmus Sjostedt;0,5;Centre-Back;Kalmar Ff;170243;6
Aleksandr Vasyutin;0,5;Goalkeeper;Djurgardens If;215213;15
Joseph Ceesay;0,5;Right-Back;Malmo Ff;364278;15
