Players;Values;POS;Team;ID;Num
Andrea Favilli;1,5;Centre-Forward;Ac Monza;340151;19
Roberto Insigne;1,5;Right Winger;Benevento Calcio;200174;19
Alfredo Donnarumma;1,5;Centre-Forward;Ternana Calcio;130485;99
Riad Bajic;1,5;Forward;Brescia Calcio;263267;11
Luca Garritano;1,5;Midfield;Frosinone Calcio;205677;16
Alessandro Vogliacco;1,5;Centre-Back;Benevento Calcio;330208;14
Michael Folorunsho;1,5;Central Midfield;Reggina 1914;377042;90
Roberto Inglese;1,5;Centre-Forward;Parma Calcio 1913;159337;45
Antonio Barreca;1,5;Left-Back;Us Lecce;241889;30
Felix Correia;1,5;Left Winger;Parma Calcio 1913;479648;77
Simy;1,5;Centre-Forward;Parma Calcio 1913;194549;99
Lorenzo Dickmann;1,5;Right-Back;Spal;283060;24
Davide Diaw;1,5;Centre-Forward;Lr Vicenza Virtus;404995;9
Federico Proia;1,5;Central Midfield;Brescia Calcio;287651;23
Ahmad Benali;1,5;Central Midfield;Fc Crotone;121402;-
Filip Jagiello;1,5;Central Midfield;Brescia Calcio;242813;24
Andrea Barberis;1,5;Defensive Midfield;Ac Monza;146680;8
Leonardo Sernicola;1,5;Right-Back;Us Cremonese;340707;17
Idrissa Toure;1,4;Midfield;Ac Pisa 1909;335516;15
Christian Gytkjaer;1,4;Centre-Forward;Ac Monza;76274;9
Andrea Papetti;1,4;Centre-Back;Brescia Calcio;503619;32
Jesse Joronen;1,4;Goalkeeper;Brescia Calcio;131758;1
Claud Adjapong;1,4;Right-Back;Reggina 1914;337716;27
Federico Barba;1,4;Centre-Back;Benevento Calcio;165873;93
Nahuel Estevez;1,4;Midfield;Fc Crotone;552472;8
Fabio Maistro;1,4;Central Midfield;Ascoli Calcio;398031;37
Anthony Partipilo;1,4;Right Winger;Ternana Calcio;182517;21
Stanko Juric;1,4;Defensive Midfield;Parma Calcio 1913;388125;11
Jacopo Da Riva;1,3;Central Midfield;Spal;430503;40
Nicola Leali;1,3;Goalkeeper;Ascoli Calcio;136111;1
Orji Okwonkwo;1,3;Right Winger;As Cittadella;401935;22
Luca Vignali;1,3;Right-Back;Como 1907;287367;28
Fabrizio Caligara;1,3;Central Midfield;Ascoli Calcio;386574;32
Marco Mancosu;1,3;Midfield;Spal;51736;8
Mattia Viviani;1,3;Defensive Midfield;Benevento Calcio;403845;24
Luca Palmiero;1,2;Defensive Midfield;Cosenza Calcio;240357;19
Massimo Bertagnoli;1,2;Central Midfield;Brescia Calcio;394352;26
