Players;Values;POS;Team;ID;Num
Adam Kovacsik;0,45;Goalkeeper;Mol Fehervar Fc;110744;74
Rafal Makowski;0,45;Central Midfield;Kisvarda Fc;300425;9
Lirim Kastrati;0,45;Right-Back;Ujpest Fc;371360;2
Nemanja Antonov;0,45;Left-Back;Ujpest Fc;171062;11
Marcel Heister;0,45;Left-Back;Mol Fehervar Fc;109830;55
Matheus Leoni;0,45;Left-Back;Kisvarda Fc;231174;25
Mohammed Kadiri;0,45;Defensive Midfield;Budapest Honved Fc;442942;42
Denys Bezborodko;0,45;Centre-Forward;Gyirmot Fc Gy%C5%91R;269371;80
Viktor Gey;0,4;Right-Back;Kisvarda Fc;382527;2
Bence Bedi;0,4;Central Midfield;Zalaegerszegi Te Fc;358835;27
David Dombo;0,4;Goalkeeper;Kisvarda Fc;170279;32
Jaroslav Navratil;0,4;Right Winger;Kisvarda Fc;253063;20
Bence Otvos;0,4;Midfield;Kisvarda Fc;443831;6
Tiago Ferreira;0,4;Centre-Back;Mtk Budapest;149721;-
Mihaly Kata;0,4;Defensive Midfield;Mtk Budapest;543774;14
Vincent Onovo;0,4;Defensive Midfield;Ujpest Fc;321292;29
Joao Nunes;0,4;Centre-Back;Puskas Akademia Fc;198021;3
Roland Ugrai;0,4;Centre-Forward;Debreceni Vsc;119772;10
Yanis Karabelyov;0,4;Defensive Midfield;Kisvarda Fc;256003;8
Bence Lenzser;0,4;Centre-Back;Paksi Fc;204164;24
Marten Kuusk;0,4;Centre-Back;Ujpest Fc;198988;20
Vidar Ari Jonsson;0,4;Right Winger;Budapest Honved Fc;178918;28
Driton Camaj;0,4;Left Winger;Kisvarda Fc;293239;7
Nikolai Alho;0,4;Right-Back;Mtk Budapest;131745;-
Barnabas Bese;0,4;Right-Back;Mol Fehervar Fc;148809;33
Adam Bogdan;0,4;Goalkeeper;Ferencvaros Budapest;55247;1
Vladislav Klimovich;0,4;Central Midfield;Gyirmot Fc Gy%C5%91R;280658;22
Somalia;0,4;Central Midfield;Ferencvaros Budapest;148754;7
Matyas Tajti;0,4;Central Midfield;Zalaegerszegi Te Fc;263381;8
Jakov Puljic;0,4;Centre-Forward;Puskas Akademia Fc;217751;21
Aron Csongvai;0,4;Central Midfield;Ujpest Fc;719926;14
Alen Skribek;0,4;Left Winger;Zalaegerszegi Te Fc;592931;-
Krisztian Tamas;0,4;Left-Back;Budapest Honved Fc;164833;22
Talys;0,4;Left-Back;Budapest Honved Fc;562671;-
Funsho Bamgboye;0,4;Right Winger;Mol Fehervar Fc;401921;70
Mark Koszta;0,4;Centre-Forward;Zalaegerszegi Te Fc;249036;-
Barnabas Varga;0,4;Centre-Forward;Gyirmot Fc Gy%C5%91R;328573;25
Luciano Slagveer;0,4;Right Winger;Puskas Akademia Fc;187298;11
Michael Luftner;0,4;Centre-Back;Mol Fehervar Fc;61763;26
Vyacheslav Churko;0,4;Right Winger;Mez%C5%91Kovesd Zsory Fc;131553;19
Tamas Kiss;0,4;Left Winger;Puskas Akademia Fc;451282;-
Lasha Dvali;0,4;Centre-Back;Ferencvaros Budapest;222332;33
Bojan Sankovic;0,375;Defensive Midfield;Zalaegerszegi Te Fc;277414;18
Oleksandr Petrusenko;0,35;Defensive Midfield;Budapest Honved Fc;461657;47
Gergely Nagy;0,35;Goalkeeper;Paksi Fc;170672;1
Andrei Peteleu;0,35;Right-Back;Kisvarda Fc;192870;71
Matyas Katona;0,35;Midfield;Ujpest Fc;708209;27
Jozef Urblik;0,35;Central Midfield;Puskas Akademia Fc;255887;8
David Banai;0,35;Goalkeeper;Ujpest Fc;148808;23
Bence Batik;0,35;Centre-Back;Budapest Honved Fc;191745;7
Georgios Koutroubis;0,35;Centre-Back;Ujpest Fc;96452;13
Stopira;0,35;Centre-Back;Mol Fehervar Fc;80486;22
Junior Tallo;0,35;Centre-Forward;Ujpest Fc;145416;-
Szabolcs Mezei;0,35;Central Midfield;Mtk Budapest;598587;8
Krisztian Nemeth;0,35;Forward;Debreceni Vsc;48262;-
Mate Sajban;0,35;Forward;Paksi Fc;385621;7
Donat Zsoter;0,35;Midfield;Budapest Honved Fc;199480;11
Eros Grezda;0,35;Right Winger;Zalaegerszegi Te Fc;289814;-
David Babunski;0,35;Central Midfield;Debreceni Vsc;133628;8
Zsombor Bevardi;0,35;Right-Back;Debreceni Vsc;342979;31
