pc1;pc2;pc3;pc4;pc5;pc6;pc7;pc8;pc9;cluster;Nombre
-0,07541119973667855;0,15234642547602484;-0,144546445319395;0,06813875305950541;0,1004093558687563;0,1459470720654531;-0,0480163535918486;-0,1484673367596372;-0,059652568457414255;2;Jeison Murillo
-0,46938240227881595;0,08440120331777173;0,17648668831887543;-0,15455543375346334;0,0967898051049879;-0,14739371078939761;-0,23015758628277855;0,22943732000242037;0,046883751729680984;3;Matt Miazga
-0,13012928290344664;0,13673904563099692;0,19237404029408106;0,10468382349579453;0,2297391383243871;0,02770803331106678;-0,016205448393816973;-0,2599875301890786;-0,10790466518601144;2;Nikola Maras
-0,09262368105368553;-0,12474334922681064;-0,010322838533202459;-0,22989127124971892;0,1356535907704183;0,13844328715216703;0,2249347890378946;-0,18364362663194714;0,07892778194379332;3;Fernando Calero
-0,37768460967361583;-0,3704557516450511;-0,08101921637343087;-0,27362732488103403;0,12757031135277777;-0,04068819335806261;0,18496486947277532;0,03252073305385362;0,14260671210862103;3;Sergio Gomez
-0,4618690037772602;-0,4446677856988807;0,12908911298085754;0,09119186457721144;-0,2163667880595558;0,10195063466120326;0,08134352553712197;-0,21375541670226675;-0,11765690168898116;3;Luis Hernandez
-0,5403497148684578;-0,2028747279068623;0,23074212936079092;-0,059905662108865526;-0,09411271428339288;0,035781023184288684;0,014305660643735913;0,07855603365579945;-0,03826993275782223;3;Stefan Mitrovic
0,06654955111877378;-0,16107699430766326;0,02095320385814712;-0,12637984078264128;0,16994745657483942;0,16976858454332716;-0,02690306383705255;-0,052391854745402054;-0,014134633357737085;1;Ruben Vezo
0,04408310574081584;-0,12938933700218044;0,12819476313567724;-0,2218059580479195;-0,27490618311684184;-0,02825361094490415;0,11558964913869123;0,100783305976938;-0,09764681258357372;1;Mouctar Diakhaby
0,19565246100005265;-0,2598525344763503;-0,05587869905100099;-0,05950478293789047;-0,005094023558681581;-0,1223469518033025;0,17318362566212392;0,11764281069114525;-0,12350113592479059;1;Roberto Pier
-0,1747084580508308;0,04104172672627457;0,3256272685898933;-0,2804869897380491;-0,12319419578516952;0,02968443920016397;-0,01389485385847778;-8,067011376307432e-06;-0,12070972438878363;3;Jorge Cuenca Barreno
