Att. Midfield/Winger
Ocasiones generadas
Recuperaciones en campo rival
PF/100Acciones no defensivas
Pases efectivos
% de efectividad de pases
Ocasiones de gol, % conversión
Jugadas de gol
Expected assists
Pases de finalización efectivos
Centros efectivos
Goles esperados
Regates efectivos
