pc1;pc2;pc3;pc4;pc5;pc6;pc7;pc8;pc9;pc10;pc11;cluster;Nombre
0,6546513002742339;0,0383239917541706;-0,12787355729089722;-0,29942792583530153;0,015388136460084656;0,06309187090280714;-0,05192656287610037;-0,11808111248031175;-0,07138860657787457;-0,05827233072287627;-0,113498967235077;1;Fidel
-0,3552114474659291;-0,27804982745273266;-0,06646403508830467;0,1521715645819229;-0,10111041115307454;0,11695243525319399;0,11454237004888512;0,13634658321432494;-0,021149565634360074;-0,05971005558860199;-0,04351950533616917;3;Isi Palazón
0,6921999944633486;0,4665870097080294;0,1581180403940377;0,018539815416789562;-0,07035710300889172;-0,17254101847433279;0,10342268485777659;-0,28779840741035523;-0,06131127420483591;0,17878811089569707;0,022898653256239458;1;Jorge De Frutos
-0,31350992884390183;-0,05704434479553502;0,10820094648997074;-0,12684018872359645;0,20655960603534307;-0,15607337986326528;-0,05889204968808376;-0,04363675894892515;-0,031409158752725916;-0,003059949341935594;-0,18675715548243269;3;Ruben Rochina
-0,3097237819245295;-0,2525718120839483;0,3942146835726739;-0,2514308018833661;-0,2075109301071037;-0,0977170344621756;-0,10212343400923954;-0,11815083954944343;-0,08346124226836314;0,19698186574316937;0,11641185626803896;3;Alberto Perea
-0,33783342360083063;-0,12141969591767734;-0,19777842906907692;-0,046466313807328505;0,20288167852619055;0,2776444943044406;-0,01612198137574361;-0,11626877343057533;0,037868493546884374;-0,13997174929799133;-0,10785321687702598;3;Moi Gomez
-0,3504070426309765;0,07500603838186344;-0,006021066859113027;-0,09343150286668711;-0,011803845059524682;-0,02210761185809743;0,09270128834277973;-0,09397983058609809;-0,0036655936142123307;-0,03487124534700725;0,06056969623839757;2;Enis Bardhi
0,6988773047845132;-0,20727781771697362;-0,00377011048323371;-0,010697099884597133;0,1383574357591517;-0,04072522062386328;0,02482544411540832;-0,08134551892949232;-0,05859804012142954;-0,07486434867652489;0,16032683400661832;1;Franco Emanuel Cervi
0,8534484074904656;0,22328956044988524;0,9915825703243559;0,20145743775356123;-0,19459616361380427;0,04263438331094508;0,0586442680051518;-0,12616899231620754;0,17717551779299148;0,13372801495272668;-0,01748127818267893;1;Ivan Alejo
0,6953311291592765;-0,27470274680375856;0,058806804252985234;0,16290466112838287;-0,049720270206163805;0,13033396163106356;-0,2230373326113404;0,06296222709023884;-0,012460840142984167;-0,05734484025311238;-0,018722189615108225;1;Ruben Garcia
-0,25872088789309916;-0,04631585801536828;0,5862312970009412;-0,05075563258907903;-0,2946058699034167;0,27497024613447535;-0,06149198351659076;0,17356719589467515;0,04995563878468827;0,16602844582691367;-0,012507088632289559;3;Kike Barja Afonso
-0,22868157112883447;0,1345723546752196;0,549713465346513;-0,16673595305672873;0,1336069343706299;-0,0407508128005604;-0,006429553375123206;-0,12576520021958446;0,03576410083989148;0,011526305265601115;-0,011258254219087055;2;Helder Costa
0,6785833264919016;0,2556411700774732;0,2894432698052487;0,1997411120552763;-0,32215489375506656;-0,19547399117556605;-0,132134927539642;0,11203400917652663;-0,1502950266187577;0,37607405158612933;0,09513246817529587;1;Bebe
-0,3379023445798872;0,0930975724111392;-0,20088672781473763;-0,14631453973055067;0,35975401194376844;0,04971402829164169;-0,01636652271622651;0,08134857474890002;-0,031232965099311262;-0,12933491673075348;0,21802332081681539;2;Nolito
0,6734046653181612;-0,49247037876949995;-0,03188247363459933;0,3457273755011955;-0,17694371400564948;0,19203942660244683;0,09880290529939334;-0,015395004154934314;0,03185312180858555;-0,07295602641527628;-0,07987740814546403;1;Antonio Puertas
0,6184760878652387;0,07364019135045168;-0,5761233229115916;0,3882355948031808;0,3642747970190521;-0,10420179072799922;-0,20153343757641554;-0,2545865083869094;-0,021785496654431847;0,0648050547780887;-0,0071246902176509645;1;Munir El Haddadi
0,6614632413565664;0,09898370037221332;-0,2074484618093285;0,1492389480696945;0,1639494065148615;-0,009407096381005548;-0,08274430905793968;-0,1551939096187119;0,0869681128690918;-0,12899637191273847;-0,0678526088483759;1;Portu
0,6924347971091944;-0,05558985160653042;0,17432626282200944;0,23676336211203264;-0,37176020637575036;0,32653215881478626;0,30758383209558854;-0,023683860220907477;0,008397150835015296;-0,07089228591804426;-0,08762544336990936;1;Adri Embarba
0,6826970673737617;-0,5666865380945837;-0,06924111093324098;-0,04866415209708039;-0,06739917098655183;0,19523416257428655;0,2797050371766902;-0,0738972507068739;-0,13210564938515984;-0,2645783700424941;0,08991295161774314;1;Antonio Sánchez
-0,3313422936898317;-0,3261472003612518;-0,12455695057121263;0,01097423953333008;0,29880444548809637;-0,04410423109983839;0,12371556906350643;-0,04283883389061866;0,02196379747335967;0,026437180323615857;-0,10235833835239887;3;Pere Milla
-0,35868295965266345;-0,26699870282198024;-0,14504206255065616;-0,11673686227032898;0,1365882773020281;-0,057366256625567234;-0,09008993605705425;-0,08722237593347201;0,06466672323980423;0,05076189373051293;0,051174258302573314;3;Javier Puado Diaz
-0,3550755399621674;-0,07121617542778397;-0,051813607308363804;-0,017289364006653783;0,07864162517069082;-0,14976848122646977;-0,04647800704786825;-0,07230336125682618;0,00201855166103261;-0,07256975265073203;-0,17977419965189415;3;Lee Kang-In
-0,4160411634938864;0,21386216784245551;-0,40588149770267523;-0,049301265660906396;0,05884001192583475;-0,0834493409399243;-0,037955999720993665;-0,046037550855422854;0,1487250336052628;-0,032463734251407805;-0,09599182578327863;2;Oihan Sancet
0,7464598835603199;0,08099637151719428;0,16294722510788037;-0,15941882685469658;0,08813512762401857;0,5054121525044698;0,2594816329326887;0,0911682297256591;0,00814136100894192;-0,03769268697911946;-0,15802568518367352;1;Jakub Jankto
0,6848366494680398;0,37424649942932314;-0,06168955013472529;0,1724050933647336;0,19421011059136767;-0,05085659935341538;-0,2638554705789699;-0,005464438225888215;-0,18103581055745463;-0,025524706222234243;0,015408949550554253;1;Roberto Torres
0,7285176193563486;0,3918655916553471;0,18036399762409153;0,05575693210233392;0,1313321096550929;0,023632841378287073;0,15244504790407265;0,01906477743398757;-0,13229026121937887;0,03725336984192659;0,0005941077772764279;1;Jason
0,7497150275287356;0,07975272536454808;0,27405765297061174;0,29871163572660625;0,10863128422556317;0,06144533480395415;0,042898422739219004;0,14028542696606328;-0,09883499742379366;0,02410704592205354;0,026014408173467486;1;Edgar Mendez
0,7277586300510493;0,3963491100408708;0,16445645242874551;0,36543993213199627;-0,16410428286555825;0,3819389037911036;0,7129871980436239;-0,09853717402272505;-0,014450408024597213;-0,29759891474263195;-0,13017745735075173;1;Denis Cheryshev
-0,28891962249378206;-0,14207549628781774;0,05654018815210774;0,22992033327180678;0,14440806158275127;0,43789657853396624;0,16974641331560744;0,003956103653552131;-0,10837879273070686;-0,16805528889105556;-0,0010147562552430165;3;Alberto Soro Alvarez
