team;league;league-id-tmarkt;league-instat;league-id-instat;teamid;url_sys
Olympique Marseille;Ligue-1;FR1;France.Ligue1;37;244;https://www.transfermarkt.com/Olympique Marseille/spielplan/verein/244/saison_id/2021/plus/1#ES1
As Saint Etienne;Ligue-1;FR1;France.Ligue1;37;618;https://www.transfermarkt.com/As Saint Etienne/spielplan/verein/618/saison_id/2021/plus/1#ES1
Stade Brest 29;Ligue-1;FR1;France.Ligue1;37;3911;https://www.transfermarkt.com/Stade Brest 29/spielplan/verein/3911/saison_id/2021/plus/1#ES1
Montpellier Hsc;Ligue-1;FR1;France.Ligue1;37;969;https://www.transfermarkt.com/Montpellier Hsc/spielplan/verein/969/saison_id/2021/plus/1#ES1
Sco Angers;Ligue-1;FR1;France.Ligue1;37;1420;https://www.transfermarkt.com/Sco Angers/spielplan/verein/1420/saison_id/2021/plus/1#ES1
PSG;Ligue-1;FR1;France.Ligue1;37;583;https://www.transfermarkt.com/Fc Paris Saint Germain/spielplan/verein/583/saison_id/2021/plus/1#ES1
Rc Strassburg Alsace;Ligue-1;FR1;France.Ligue1;37;667;https://www.transfermarkt.com/Rc Strassburg Alsace/spielplan/verein/667/saison_id/2021/plus/1#ES1
Olympique Lyon;Ligue-1;FR1;France.Ligue1;37;1041;https://www.transfermarkt.com/Olympique Lyon/spielplan/verein/1041/saison_id/2021/plus/1#ES1
Fc Girondins Bordeaux;Ligue-1;FR1;France.Ligue1;37;40;https://www.transfermarkt.com/Fc Girondins Bordeaux/spielplan/verein/40/saison_id/2021/plus/1#ES1
As Monaco;Ligue-1;FR1;France.Ligue1;37;162;https://www.transfermarkt.com/As Monaco/spielplan/verein/162/saison_id/2021/plus/1#ES1
Rc Lens;Ligue-1;FR1;France.Ligue1;37;826;https://www.transfermarkt.com/Rc Lens/spielplan/verein/826/saison_id/2021/plus/1#ES1
Fc Nantes;Ligue-1;FR1;France.Ligue1;37;995;https://www.transfermarkt.com/Fc Nantes/spielplan/verein/995/saison_id/2021/plus/1#ES1
Crystal Palace;Premier-League;GB1;England.PremierLeague;39;873;https://www.transfermarkt.com/Crystal Palace/spielplan/verein/873/saison_id/2021/plus/1#ES1
