;jor;coach;system;teamid
0;1;Abel Braga;3-4-2-1;2462
1;2;Abel Braga;4-3-3;2462
2;3;Abel Braga;3-4-1-2;2462
3;4;Marcão;4-4-2;2462
4;5;Fernando Diniz;4-2-3-1;2462
5;6;Fernando Diniz;4-3-1-2;2462
6;7;Fernando Diniz;4-4-1-1;2462
7;8;Fernando Diniz;4-4-1-1;2462
8;9;Fernando Diniz;4-2-3-1;2462
9;10;Fernando Diniz;4-4-1-1;2462
10;11;Fernando Diniz;4-2-3-1;2462
11;12;Fernando Diniz;4-2-3-1;2462
12;13;Fernando Diniz;4-2-3-1;2462
13;14;Fernando Diniz;4-2-3-1;2462
14;15;Fernando Diniz;4-2-3-1;2462
15;16;Fernando Diniz;4-2-3-1;2462
16;17;Fernando Diniz;4-2-3-1;2462
17;18;Fernando Diniz;4-2-3-1;2462
18;19;Fernando Diniz;4-4-2;2462
19;20;Fernando Diniz;4-2-3-1;2462
20;21;Fernando Diniz;4-2-3-1;2462
21;22;Fernando Diniz;4-2-3-1;2462
22;23;Fernando Diniz;4-2-3-1;2462
23;24;Fernando Diniz;4-2-3-1;2462
24;25;Fernando Diniz;4-2-3-1;2462
25;26;Fernando Diniz;4-2-3-1;2462
26;27;Fernando Diniz;4-2-3-1;2462
27;28;Fernando Diniz;4-2-3-1;2462
28;29;Fernando Diniz;4-2-3-1;2462
29;30;Fernando Diniz;4-2-3-1;2462
30;31;Fernando Diniz;4-2-3-1;2462
31;32;Fernando Diniz;4-4-2;2462
32;33;Fernando Diniz;4-2-3-1;2462
33;34;Fernando Diniz;4-3-2-1;2462
34;35;Fernando Diniz;4-3-2-1;2462
35;36;Fernando Diniz;4-3-2-1;2462
36;37;Fernando Diniz;4-3-1-2;2462
37;38;Fernando Diniz;4-2-3-1;2462
