;jor;coach;system;teamid
0;1;Ange Postecoglou;4-2-3-1;371
1;2;Ange Postecoglou;4-2-3-1;371
2;3;Ange Postecoglou;4-2-3-1;371
3;4;Ange Postecoglou;4-2-3-1;371
4;5;Ange Postecoglou;4-2-3-1;371
5;6;Ange Postecoglou;4-2-3-1;371
6;7;Ange Postecoglou;4-2-3-1;371
7;8;Ange Postecoglou;4-2-3-1;371
8;9;Ange Postecoglou;4-2-3-1;371
9;10;Ange Postecoglou;4-2-3-1;371
10;11;Ange Postecoglou;4-2-3-1;371
11;12;Ange Postecoglou;4-2-3-1;371
12;13;Ange Postecoglou;4-2-3-1;371
13;14;Ange Postecoglou;4-2-3-1;371
14;15;Ange Postecoglou;4-2-3-1;371
15;16;Ange Postecoglou;4-2-3-1;371
16;17;Ange Postecoglou;4-2-3-1;371
17;18;Ange Postecoglou;4-2-3-1;371
18;19;Ange Postecoglou;4-3-3;371
19;20;Ange Postecoglou;4-3-1-2;371
20;21;Ange Postecoglou;4-3-3;371
21;22;Ange Postecoglou;4-3-3;371
22;23;Ange Postecoglou;4-3-3;371
23;24;Ange Postecoglou;4-3-3;371
24;25;Ange Postecoglou;4-3-3;371
25;26;Ange Postecoglou;4-3-3;371
26;27;Ange Postecoglou;4-3-3;371
27;28;Ange Postecoglou;4-3-3;371
28;29;Ange Postecoglou;4-3-3;371
29;30;Ange Postecoglou;4-3-3;371
30;31;Ange Postecoglou;4-3-3;371
31;32;Ange Postecoglou;4-3-3;371
32;33;Ange Postecoglou;4-3-3;371
