;jor;coach;system;teamid
0;1;Favio Fernández;4-3-3;12301
1;2;Favio Fernández;4-2-3-1;12301
2;3;Favio Fernández;4-3-3;12301
3;4;Leandro Somoza;5-3-2;12301
4;5;Leandro Somoza;5-3-2;12301
5;6;Leandro Somoza;3-5-2;12301
6;7;Leandro Somoza;4-3-3;12301
7;8;Leandro Somoza;4-3-3;12301
8;9;Leandro Somoza;4-3-3;12301
9;10;Leandro Somoza;5-3-2;12301
10;11;Leandro Somoza;5-3-2;12301
11;12;Leandro Somoza;5-3-2;12301
12;13;Leandro Somoza;5-3-2;12301
13;14;Leandro Somoza;4-3-3;12301
14;15;Leandro Somoza;4-3-3;12301
15;16;Leandro Somoza;4-3-3;12301
16;17;Leandro Somoza;4-3-3;12301
17;18;Leandro Somoza;4-3-3;12301
18;19;Diego Villar;4-3-3;12301
19;20;Diego Villar;5-3-2;12301
20;21;Diego Villar;4-2-3-1;12301
21;22;Diego Villar;4-3-1-2;12301
22;23;Diego Villar;4-3-1-2;12301
23;24;Diego Villar;4-3-1-2;12301
24;25;0;4-4-2;12301
25;25;0;4-4-2;12301
26;25;0;4-3-3;12301
