;jor;coach;system;teamid
0;1;Javier Calleja;4-2-3-1;1108
1;2;Javier Calleja;4-1-4-1;1108
2;3;Javier Calleja;4-4-2;1108
3;4;Javier Calleja;4-3-3;1108
4;5;Javier Calleja;4-4-2;1108
5;6;Javier Calleja;4-4-2;1108
6;7;Javier Calleja;5-4-1;1108
7;8;Javier Calleja;5-4-1;1108
8;9;Javier Calleja;4-4-2;1108
9;10;Javier Calleja;4-2-3-1;1108
10;11;Javier Calleja;4-2-3-1;1108
11;12;Javier Calleja;4-3-3;1108
12;13;Javier Calleja;4-3-3;1108
13;14;Javier Calleja;4-1-4-1;1108
14;15;Javier Calleja;4-3-3;1108
15;16;Javier Calleja;4-3-3;1108
16;17;Javier Calleja;4-1-4-1;1108
17;18;Javier Calleja;4-1-4-1;1108
18;19;José Luis Mendilibar;4-4-2;1108
19;20;José Luis Mendilibar;4-4-2;1108
20;21;José Luis Mendilibar;4-4-2;1108
21;22;José Luis Mendilibar;4-4-2;1108
22;23;José Luis Mendilibar;4-4-2;1108
23;24;José Luis Mendilibar;4-2-3-1;1108
24;25;José Luis Mendilibar;4-1-4-1;1108
25;26;José Luis Mendilibar;4-1-4-1;1108
26;27;José Luis Mendilibar;4-4-1-1;1108
27;28;José Luis Mendilibar;4-2-3-1;1108
28;29;José Luis Mendilibar;4-4-2;1108
29;30;José Luis Mendilibar;4-3-3;1108
30;31;Julio Velázquez;4-2-3-1;1108
31;32;Julio Velázquez;4-4-2;1108
32;33;Julio Velázquez;4-2-3-1;1108
33;34;Julio Velázquez;4-2-3-1;1108
34;35;Julio Velázquez;4-2-3-1;1108
35;36;Julio Velázquez;4-2-3-1;1108
36;37;Julio Velázquez;4-2-3-1;1108
37;38;Julio Velázquez;4-2-3-1;1108
