;jor;coach;system;teamid
0;1;James McPake;4-3-3;511
1;2;James McPake;4-1-4-1;511
2;3;James McPake;4-3-3;511
3;4;James McPake;4-3-3;511
4;5;James McPake;4-3-3;511
5;6;James McPake;4-3-3;511
6;7;James McPake;5-3-2;511
7;8;James McPake;3-5-2;511
8;9;James McPake;4-3-3;511
9;10;James McPake;4-3-3;511
10;11;James McPake;4-3-3;511
11;12;James McPake;4-3-3;511
12;13;James McPake;5-4-1;511
13;14;James McPake;4-2-3-1;511
14;15;James McPake;4-2-3-1;511
15;16;James McPake;4-2-3-1;511
16;17;James McPake;4-2-3-1;511
17;18;James McPake;4-2-3-1;511
18;19;James McPake;4-2-3-1;511
19;20;James McPake;3-5-2;511
20;21;James McPake;4-2-3-1;511
21;22;James McPake;4-2-3-1;511
22;23;James McPake;4-2-3-1;511
23;24;Mark McGhee;4-2-3-1;511
24;25;James McPake;4-3-3;511
25;26;James McPake;3-5-2;511
26;27;Mark McGhee;5-3-2;511
27;28;Mark McGhee;5-3-2;511
28;29;Mark McGhee;4-4-2;511
29;30;Mark McGhee;4-2-3-1;511
30;31;Mark McGhee;5-4-1;511
31;32;Mark McGhee;5-4-1;511
32;33;Mark McGhee;4-3-2-1;511
