;jor;coach;system;teamid
0;1;Rubi;4-2-3-1;3302
1;2;Rubi;4-2-3-1;3302
2;3;Rubi;4-3-3;3302
3;4;Rubi;4-3-3;3302
4;5;Rubi;4-2-3-1;3302
5;6;Rubi;4-2-3-1;3302
6;7;Rubi;4-3-3;3302
7;8;Rubi;4-3-3;3302
8;9;Rubi;4-1-4-1;3302
9;10;Rubi;4-2-3-1;3302
10;11;Rubi;4-2-3-1;3302
11;12;Rubi;4-2-3-1;3302
12;13;Rubi;4-2-3-1;3302
13;14;Rubi;4-2-3-1;3302
14;15;Rubi;4-3-3;3302
15;16;Rubi;4-2-3-1;3302
16;17;Rubi;4-3-3;3302
17;18;Rubi;4-3-3;3302
18;19;Rubi;4-2-3-1;3302
19;20;Rubi;4-2-3-1;3302
20;21;Rubi;4-2-3-1;3302
21;22;Rubi;4-2-3-1;3302
22;23;Rubi;4-2-3-1;3302
23;24;Rubi;4-3-3;3302
24;25;Rubi;4-2-3-1;3302
25;26;Rubi;4-2-3-1;3302
26;27;Rubi;4-2-3-1;3302
27;28;Rubi;4-1-4-1;3302
28;29;Rubi;4-2-3-1;3302
29;30;Rubi;4-4-2;3302
30;31;Rubi;4-2-3-1;3302
31;32;Rubi;3-5-2;3302
32;33;Rubi;4-2-3-1;3302
33;34;Rubi;4-2-3-1;3302
34;35;Rubi;4-3-3;3302
35;36;Rubi;4-2-3-1;3302
36;37;Rubi;4-2-3-1;3302
37;38;Rubi;4-2-3-1;3302
38;39;Rubi;4-2-3-1;3302
39;40;Rubi;4-2-3-1;3302
40;41;Rubi;4-2-3-1;3302
41;42;Rubi;4-2-3-1;3302
