;jor;coach;system;teamid
0;1;Róbert Waltner;4-3-3;1391
1;2;Róbert Waltner;4-3-3;1391
2;3;Róbert Waltner;4-3-3;1391
3;4;Róbert Waltner;4-2-3-1;1391
4;5;Róbert Waltner;4-2-3-1;1391
5;6;Róbert Waltner;4-3-3;1391
6;7;Róbert Waltner;4-2-3-1;1391
7;8;Róbert Waltner;4-2-3-1;1391
8;9;Róbert Waltner;4-2-3-1;1391
9;10;Róbert Waltner;4-2-3-1;1391
10;11;Róbert Waltner;4-2-3-1;1391
11;12;Róbert Waltner;4-2-3-1;1391
12;13;Róbert Waltner;4-2-3-1;1391
13;14;Róbert Waltner;4-2-3-1;1391
14;15;Róbert Waltner;4-2-3-1;1391
15;16;Róbert Waltner;4-2-3-1;1391
16;17;Róbert Waltner;4-1-4-1;1391
17;18;Róbert Waltner;4-1-4-1;1391
18;19;Róbert Waltner;4-2-3-1;1391
19;20;Róbert Waltner;4-2-3-1;1391
20;21;Róbert Waltner;3-5-2;1391
21;22;Róbert Waltner;3-5-2;1391
22;23;Róbert Waltner;4-2-3-1;1391
23;24;Róbert Waltner;4-2-3-1;1391
24;25;Róbert Waltner;4-2-3-1;1391
25;26;Balázs Molnár;4-2-3-1;1391
26;27;Balázs Molnár;4-1-4-1;1391
27;28;Balázs Molnár;4-1-4-1;1391
28;29;Balázs Molnár;4-1-4-1;1391
29;30;Balázs Molnár;4-1-4-1;1391
30;31;Balázs Molnár;3-4-2-1;1391
31;32;Balázs Molnár;4-1-4-1;1391
32;33;Balázs Molnár;3-4-2-1;1391
