;jor;coach;system;teamid
0;1;Aleksey Stukalov;3-5-2;28095
1;2;Aleksey Stukalov;3-5-2;28095
2;3;Aleksey Stukalov;3-5-2;28095
3;4;Aleksey Stukalov;3-5-2;28095
4;5;Aleksey Stukalov;3-5-2;28095
5;6;Aleksey Stukalov;3-5-2;28095
6;7;Aleksey Stukalov;3-5-2;28095
7;8;Aleksey Stukalov;3-5-2;28095
8;9;Aleksey Stukalov;3-4-2-1;28095
9;10;Aleksey Stukalov;3-5-2;28095
10;11;Aleksey Stukalov;3-5-2;28095
11;12;Aleksey Stukalov;3-5-2;28095
12;13;Aleksey Stukalov;3-5-2;28095
13;14;Aleksey Stukalov;3-5-2;28095
14;15;Aleksey Stukalov;3-5-2;28095
15;16;Aleksey Stukalov;3-5-2;28095
16;17;Aleksey Stukalov;3-5-2;28095
17;18;Aleksey Stukalov;3-4-2-1;28095
18;19;Aleksey Stukalov;3-5-2;28095
19;20;Aleksey Stukalov;3-5-2;28095
20;21;Aleksey Stukalov;3-5-2;28095
21;22;Aleksey Stukalov;3-5-2;28095
22;23;Aleksey Stukalov;3-5-2;28095
23;24;Aleksey Stukalov;3-5-2;28095
24;25;Aleksey Stukalov;3-4-2-1;28095
25;26;Aleksey Stukalov;3-5-2;28095
26;27;Aleksey Stukalov;4-3-3;28095
27;28;Aleksey Stukalov;3-4-2-1;28095
28;29;Aleksey Stukalov;3-4-2-1;28095
29;30;Aleksey Stukalov;3-4-2-1;28095
