;jor;coach;system;teamid
0;1;Adi Hütter;4-2-3-1;18
1;2;Adi Hütter;4-2-3-1;18
2;3;Adi Hütter;4-2-3-1;18
3;4;Adi Hütter;3-4-2-1;18
4;5;Adi Hütter;4-2-3-1;18
5;6;Adi Hütter;3-4-2-1;18
6;7;Adi Hütter;3-4-2-1;18
7;8;Adi Hütter;3-4-2-1;18
8;9;Adi Hütter;3-4-2-1;18
9;10;Adi Hütter;4-2-3-1;18
10;11;Adi Hütter;3-4-2-1;18
11;12;Adi Hütter;3-4-2-1;18
12;13;Adi Hütter;3-4-2-1;18
13;14;Adi Hütter;3-4-1-2;18
14;15;Adi Hütter;4-3-3;18
15;16;Adi Hütter;3-4-2-1;18
16;17;Adi Hütter;4-2-3-1;18
17;18;Adi Hütter;3-4-2-1;18
18;19;Adi Hütter;3-4-2-1;18
19;20;Adi Hütter;3-4-2-1;18
20;21;Adi Hütter;3-4-2-1;18
21;22;Adi Hütter;3-4-2-1;18
22;23;Adi Hütter;3-4-2-1;18
23;24;Adi Hütter;3-4-1-2;18
24;25;Adi Hütter;4-1-4-1;18
25;26;Adi Hütter;3-4-3;18
26;27;Adi Hütter;3-4-3;18
27;28;Adi Hütter;3-4-2-1;18
28;29;Adi Hütter;5-4-1;18
29;30;Adi Hütter;5-4-1;18
30;31;Adi Hütter;5-3-2;18
31;32;Adi Hütter;3-4-2-1;18
32;33;Adi Hütter;3-4-2-1;18
33;34;Adi Hütter;4-2-3-1;18
