;jor;coach;system;teamid
0;1;João Henriques;3-4-3;979
1;2;João Henriques;3-4-3;979
2;3;João Henriques;3-4-3;979
3;4;João Henriques;3-4-3;979
4;5;João Henriques;4-3-3;979
5;6;João Henriques;4-2-3-1;979
6;7;João Henriques;4-2-3-1;979
7;8;João Henriques;4-2-3-1;979
8;9;João Henriques;5-4-1;979
9;10;João Henriques;4-2-3-1;979
10;11;João Henriques;4-2-3-1;979
11;12;João Henriques;4-3-3;979
12;13;Lito Vidigal;3-4-3;979
13;14;Lito Vidigal;4-2-3-1;979
14;15;Lito Vidigal;4-2-3-1;979
15;16;Lito Vidigal;3-4-3;979
16;17;Lito Vidigal;3-4-3;979
17;18;Lito Vidigal;3-4-3;979
18;19;Lito Vidigal;3-4-3;979
19;20;Sá Pinto;3-4-3;979
20;21;Sá Pinto;3-4-3;979
21;22;Sá Pinto;3-4-3;979
22;23;Sá Pinto;3-4-3;979
23;24;Sá Pinto;3-4-3;979
24;25;Sá Pinto;4-4-2;979
25;26;Sá Pinto;3-4-3;979
26;27;Sá Pinto;4-3-3;979
27;28;Sá Pinto;4-1-4-1;979
28;29;Sá Pinto;4-3-3;979
29;30;Sá Pinto;4-2-3-1;979
30;31;Sá Pinto;4-2-3-1;979
31;32;Sá Pinto;4-1-4-1;979
32;33;Sá Pinto;4-2-3-1;979
33;34;Sá Pinto;4-1-4-1;979
