;jor;coach;system;teamid
0;1;Alfredo Aglietti;4-4-2;1386
1;2;Alfredo Aglietti;4-4-2;1386
2;3;Alfredo Aglietti;4-4-2;1386
3;4;Alfredo Aglietti;4-2-3-1;1386
4;5;Alfredo Aglietti;4-2-3-1;1386
5;6;Alfredo Aglietti;4-2-3-1;1386
6;7;Alfredo Aglietti;4-2-3-1;1386
7;8;Alfredo Aglietti;4-4-2;1386
8;9;Alfredo Aglietti;4-2-3-1;1386
9;10;Alfredo Aglietti;4-4-2;1386
10;11;Alfredo Aglietti;4-4-2;1386
11;12;Alfredo Aglietti;4-4-2;1386
12;13;Alfredo Aglietti;4-4-2;1386
13;14;Alfredo Aglietti;4-4-2;1386
14;15;Alfredo Aglietti;4-3-3;1386
15;16;Alfredo Aglietti;4-3-3;1386
16;17;Alfredo Aglietti;4-4-2;1386
17;18;Domenico Toscano;4-2-3-1;1386
18;19;Domenico Toscano;4-2-3-1;1386
19;20;Domenico Toscano;4-2-3-1;1386
20;21;Roberto Stellone;4-3-2-1;1386
21;22;Roberto Stellone;4-2-3-1;1386
22;23;Roberto Stellone;3-5-2;1386
23;24;Roberto Stellone;3-5-2;1386
24;25;Roberto Stellone;3-5-2;1386
25;26;Roberto Stellone;3-5-2;1386
26;27;Roberto Stellone;3-5-2;1386
27;28;Roberto Stellone;3-5-2;1386
28;29;Roberto Stellone;3-5-2;1386
29;30;Roberto Stellone;3-5-2;1386
30;31;Roberto Stellone;3-5-2;1386
31;32;Roberto Stellone;3-5-2;1386
32;33;Roberto Stellone;3-5-2;1386
33;34;Roberto Stellone;3-5-2;1386
34;35;Roberto Stellone;4-4-2;1386
35;36;Roberto Stellone;3-5-2;1386
36;37;Roberto Stellone;4-3-3;1386
37;38;Roberto Stellone;3-5-2;1386
