;jor;coach;system;teamid
0;1;Jörgen Lennartsson;4-3-3;699
1;2;Jörgen Lennartsson;4-3-3;699
2;3;Jörgen Lennartsson;4-3-3;699
3;4;Jörgen Lennartsson;4-2-3-1;699
4;5;Jörgen Lennartsson;4-2-3-1;699
5;6;Jörgen Lennartsson;4-3-3;699
6;7;Jörgen Lennartsson;4-3-3;699
7;8;Jörgen Lennartsson;4-2-3-1;699
8;9;Jörgen Lennartsson;4-3-3;699
9;10;Mattias Lindström;4-3-3;699
10;11;Mattias Lindström;4-2-3-1;699
11;12;Mattias Lindström;4-2-3-1;699
12;13;Mattias Lindström;4-2-3-1;699
13;14;Mattias Lindström;4-2-3-1;699
14;15;Mattias Lindström;4-2-3-1;699
15;16;Jörgen Lennartsson;4-3-3;699
16;17;Álvaro Santos;4-2-3-1;699
17;18;Álvaro Santos;4-2-3-1;699
18;19;Álvaro Santos;4-3-3;699
19;20;Álvaro Santos;4-3-3;699
20;21;Álvaro Santos;4-3-3;699
21;22;Álvaro Santos;4-4-2;699
22;23;Álvaro Santos;4-3-3;699
23;24;Álvaro Santos;4-2-3-1;699
24;25;Álvaro Santos;4-3-3;699
25;26;Álvaro Santos;4-3-3;699
26;27;Álvaro Santos;4-2-3-1;699
27;28;Mattias Lindström;4-5-1;699
28;29;Álvaro Santos;4-3-3;699
29;30;Álvaro Santos;4-3-3;699
