;jor;coach;system;teamid
0;1;Pep Clotet;4-2-3-1;2722
1;2;Pep Clotet;4-2-3-1;2722
2;3;Pep Clotet;4-2-3-1;2722
3;4;Pep Clotet;4-2-3-1;2722
4;5;Pep Clotet;4-2-3-1;2722
5;6;Pep Clotet;4-2-3-1;2722
6;7;Pep Clotet;4-2-3-1;2722
7;8;Pep Clotet;4-3-3;2722
8;9;Pep Clotet;4-2-3-1;2722
9;10;Pep Clotet;4-3-1-2;2722
10;11;Pep Clotet;4-3-1-2;2722
11;12;Pep Clotet;4-3-1-2;2722
12;13;Pep Clotet;4-3-1-2;2722
13;14;Pep Clotet;4-3-3;2722
14;15;Pep Clotet;4-3-3;2722
15;16;Pep Clotet;4-3-3;2722
16;17;Pep Clotet;4-3-1-2;2722
17;18;Pep Clotet;4-3-3;2722
18;19;Roberto Venturato;4-3-1-2;2722
19;20;Roberto Venturato;4-3-1-2;2722
20;21;Roberto Venturato;4-3-1-2;2722
21;22;Roberto Venturato;4-3-1-2;2722
22;23;Roberto Venturato;4-3-1-2;2722
23;24;Roberto Venturato;4-3-1-2;2722
24;25;Roberto Venturato;4-3-1-2;2722
25;26;Roberto Venturato;4-3-1-2;2722
26;27;Roberto Venturato;4-3-1-2;2722
27;28;Roberto Venturato;4-3-1-2;2722
28;29;Roberto Venturato;4-3-1-2;2722
29;30;Roberto Venturato;4-3-1-2;2722
30;31;Roberto Venturato;4-3-1-2;2722
31;32;Roberto Venturato;4-3-1-2;2722
32;33;Roberto Venturato;4-3-1-2;2722
33;34;Roberto Venturato;4-3-1-2;2722
34;35;Roberto Venturato;4-3-1-2;2722
35;36;Roberto Venturato;4-3-1-2;2722
36;37;Roberto Venturato;4-3-1-2;2722
37;38;Roberto Venturato;4-3-1-2;2722
