;jor;coach;system;teamid
0;1;Nigel Pearson;4-2-3-1;698
1;2;Nigel Pearson;4-2-3-1;698
2;3;Nigel Pearson;4-2-3-1;698
3;4;Nigel Pearson;4-2-3-1;698
4;5;Nigel Pearson;4-4-2;698
5;6;Nigel Pearson;4-4-2;698
6;7;Nigel Pearson;4-4-2;698
7;8;Nigel Pearson;5-3-2;698
8;9;Nigel Pearson;4-4-2;698
9;10;Nigel Pearson;5-3-2;698
10;11;Nigel Pearson;4-2-3-1;698
11;12;Nigel Pearson;4-4-2;698
12;13;Nigel Pearson;3-1-4-2;698
13;14;Nigel Pearson;5-3-2;698
14;15;Nigel Pearson;4-3-1-2;698
15;16;Nigel Pearson;3-5-2;698
16;17;Nigel Pearson;4-2-3-1;698
17;18;Nigel Pearson;3-5-2;698
18;19;Nigel Pearson;3-5-2;698
19;20;Nigel Pearson;3-5-2;698
20;21;Nigel Pearson;3-4-1-2;698
21;22;Nigel Pearson;3-4-1-2;698
22;23;Nigel Pearson;3-4-1-2;698
23;24;Nigel Pearson;3-4-1-2;698
24;25;Nigel Pearson;4-2-3-1;698
25;26;Nigel Pearson;4-3-3;698
26;27;Nigel Pearson;3-4-1-2;698
27;28;Nigel Pearson;3-4-3;698
28;29;Nigel Pearson;3-4-3;698
29;30;Nigel Pearson;3-4-3;698
30;31;Nigel Pearson;5-3-2;698
31;32;Nigel Pearson;3-4-1-2;698
32;33;Nigel Pearson;3-4-1-2;698
33;34;Nigel Pearson;4-3-1-2;698
34;35;Nigel Pearson;4-4-2;698
35;36;Nigel Pearson;4-4-2;698
36;37;Nigel Pearson;3-5-2;698
37;38;Nigel Pearson;3-5-2;698
38;39;Nigel Pearson;3-4-1-2;698
39;40;Nigel Pearson;5-3-2;698
40;41;Nigel Pearson;3-4-1-2;698
41;42;Nigel Pearson;3-5-2;698
42;43;Nigel Pearson;3-5-2;698
43;44;Nigel Pearson;3-4-1-2;698
44;45;Nigel Pearson;3-4-1-2;698
45;46;Nigel Pearson;3-5-2;698
