;jor;coach;system;teamid
0;1;Enzo Maresca;4-2-3-1;130
1;2;Enzo Maresca;4-2-3-1;130
2;3;Enzo Maresca;4-2-3-1;130
3;4;Enzo Maresca;4-3-3;130
4;5;Enzo Maresca;4-2-3-1;130
5;6;Enzo Maresca;4-3-3;130
6;7;Enzo Maresca;4-3-3;130
7;8;Enzo Maresca;4-3-3;130
8;9;Enzo Maresca;4-1-4-1;130
9;10;Enzo Maresca;3-4-1-2;130
10;11;Enzo Maresca;3-4-1-2;130
11;12;Enzo Maresca;3-4-1-2;130
12;13;Enzo Maresca;3-4-1-2;130
13;14;Giuseppe Iachini;3-5-2;130
14;15;Giuseppe Iachini;3-4-1-2;130
15;16;Giuseppe Iachini;4-2-3-1;130
16;17;Giuseppe Iachini;3-5-2;130
17;18;Giuseppe Iachini;3-5-2;130
18;19;Giuseppe Iachini;3-5-2;130
19;20;Giuseppe Iachini;3-5-2;130
20;21;Giuseppe Iachini;3-5-2;130
21;22;Giuseppe Iachini;4-3-1-2;130
22;23;Giuseppe Iachini;3-5-2;130
23;24;Giuseppe Iachini;3-5-2;130
24;25;Giuseppe Iachini;3-4-1-2;130
25;26;Giuseppe Iachini;3-5-2;130
26;27;Giuseppe Iachini;3-4-1-2;130
27;28;Giuseppe Iachini;3-4-2-1;130
28;29;Giuseppe Iachini;3-5-2;130
29;30;Giuseppe Iachini;3-4-2-1;130
30;31;Giuseppe Iachini;3-4-1-2;130
31;32;Giuseppe Iachini;3-4-1-2;130
32;33;Giuseppe Iachini;3-5-2;130
33;34;Giuseppe Iachini;3-4-1-2;130
34;35;Giuseppe Iachini;3-4-1-2;130
35;36;Giuseppe Iachini;3-4-1-2;130
36;37;Giuseppe Iachini;3-4-1-2;130
37;38;Giuseppe Iachini;3-4-1-2;130
