;jor;coach;system;teamid
0;1;Ludek Klusacek;4-4-2;715
1;2;Ludek Klusacek;4-4-2;715
2;3;Ludek Klusacek;4-2-3-1;715
3;4;Ludek Klusacek;4-4-2;715
4;5;Ludek Klusacek;4-2-3-1;715
5;6;Ludek Klusacek;4-2-3-1;715
6;7;Ludek Klusacek;3-4-1-2;715
7;8;Ludek Klusacek;3-4-1-2;715
8;9;Ludek Klusacek;3-4-1-2;715
9;10;Ludek Klusacek;3-5-2;715
10;11;Ludek Klusacek;4-2-3-1;715
11;12;Ludek Klusacek;3-5-2;715
12;13;Ludek Klusacek;3-4-1-2;715
13;14;Ludek Klusacek;4-2-3-1;715
14;15;Ludek Klusacek;3-4-1-2;715
15;16;Ludek Klusacek;4-2-3-1;715
16;17;Ludek Klusacek;3-4-1-2;715
17;18;Ludek Klusacek;3-4-1-2;715
18;19;Ludek Klusacek;4-4-2;715
19;20;Ludek Klusacek;3-4-1-2;715
20;21;Ludek Klusacek;3-4-1-2;715
21;22;Ludek Klusacek;3-4-3;715
22;23;Ludek Klusacek;3-4-2-1;715
23;24;Ludek Klusacek;4-2-3-1;715
24;25;Ludek Klusacek;4-2-3-1;715
25;26;Ludek Klusacek;3-4-2-1;715
26;27;Jaroslav Vesely;4-2-3-1;715
27;28;Jaroslav Vesely;4-2-3-1;715
28;29;Jaroslav Vesely;4-2-3-1;715
29;30;Jaroslav Vesely;3-4-1-2;715
