;jor;coach;system;teamid
0;1;Antonio Mohamed;4-2-3-1;330
1;2;Antonio Mohamed;4-4-2;330
2;3;Antonio Mohamed;4-2-3-1;330
3;4;Antonio Mohamed;4-3-3;330
4;5;Antonio Mohamed;4-4-2;330
5;6;Antonio Mohamed;4-2-3-1;330
6;7;Antonio Mohamed;4-2-3-1;330
7;8;Antonio Mohamed;4-4-2;330
8;9;Antonio Mohamed;4-2-3-1;330
9;10;Antonio Mohamed;4-4-2;330
10;11;Antonio Mohamed;4-2-3-1;330
11;12;Antonio Mohamed;4-4-2;330
12;13;Antonio Mohamed;4-2-3-1;330
13;14;Antonio Mohamed;3-4-2-1;330
14;15;Antonio Mohamed;4-2-3-1;330
15;16;Antonio Mohamed;4-2-3-1;330
16;17;Antonio Mohamed;4-2-3-1;330
17;18;Antonio Mohamed;4-2-3-1;330
18;19;Lucas Gonçalves;4-2-3-1;330
19;20;Cuca;4-2-3-1;330
20;21;Cuca;4-2-3-1;330
21;22;Cuca;4-1-4-1;330
22;23;Cuca;4-1-4-1;330
23;24;Cuca;4-1-4-1;330
24;25;Cuca;4-4-2;330
25;26;Cuca;4-1-4-1;330
26;27;Cuca;4-2-3-1;330
27;28;Cuca;4-2-3-1;330
28;29;Cuca;4-2-3-1;330
29;30;Cuca;4-2-3-1;330
30;31;Cuca;4-2-3-1;330
31;32;Cuca;4-2-3-1;330
32;33;Cuca;4-2-3-1;330
33;34;Cuca;4-2-3-1;330
34;35;Cuca;4-2-3-1;330
35;36;Cuca;4-2-3-1;330
36;37;Cuca;4-2-3-1;330
37;38;Cuca;4-2-3-1;330
