;jor;coach;system;teamid
0;1;Frankie McAvoy;3-5-2;466
1;2;Frankie McAvoy;5-3-2;466
2;3;Frankie McAvoy;3-5-2;466
3;4;Frankie McAvoy;5-3-2;466
4;5;Frankie McAvoy;5-3-2;466
5;6;Frankie McAvoy;5-3-2;466
6;7;Frankie McAvoy;5-3-2;466
7;8;Frankie McAvoy;5-3-2;466
8;9;Frankie McAvoy;3-5-2;466
9;10;Frankie McAvoy;5-3-2;466
10;11;Frankie McAvoy;3-5-2;466
11;12;Frankie McAvoy;5-3-2;466
12;13;Frankie McAvoy;5-3-2;466
13;14;Frankie McAvoy;5-3-2;466
14;15;Frankie McAvoy;3-4-1-2;466
15;16;Frankie McAvoy;3-4-1-2;466
16;17;Frankie McAvoy;3-4-1-2;466
17;18;Frankie McAvoy;3-4-1-2;466
18;19;Frankie McAvoy;3-4-1-2;466
19;20;Frankie McAvoy;3-4-1-2;466
20;21;Frankie McAvoy;3-4-1-2;466
21;22;Ryan Lowe;3-4-1-2;466
22;23;Ryan Lowe;5-3-2;466
23;24;Ryan Lowe;3-5-2;466
24;25;Ryan Lowe;3-4-1-2;466
25;26;Ryan Lowe;3-5-2;466
26;27;Ryan Lowe;3-4-1-2;466
27;28;Ryan Lowe;3-4-1-2;466
28;29;Ryan Lowe;3-4-1-2;466
29;30;Ryan Lowe;3-5-2;466
30;31;Ryan Lowe;3-5-2;466
31;32;Ryan Lowe;3-4-1-2;466
32;33;Ryan Lowe;3-4-1-2;466
33;34;Ryan Lowe;3-4-1-2;466
34;35;Ryan Lowe;3-4-1-2;466
35;36;Ryan Lowe;3-4-1-2;466
36;37;Ryan Lowe;3-5-2;466
37;38;Ryan Lowe;3-5-2;466
38;39;Ryan Lowe;3-5-2;466
39;40;Ryan Lowe;4-3-3;466
40;41;Ryan Lowe;3-5-2;466
41;42;Ryan Lowe;3-5-2;466
42;43;Ryan Lowe;3-5-2;466
43;44;Ryan Lowe;3-5-2;466
44;45;Ryan Lowe;3-5-2;466
45;46;Ryan Lowe;3-5-2;466
