;jor;coach;system;teamid
0;1;Jocelyn Gourvennec;4-4-2;1082
1;2;Jocelyn Gourvennec;4-4-2;1082
2;3;Jocelyn Gourvennec;4-4-2;1082
3;4;Jocelyn Gourvennec;4-4-2;1082
4;5;Jocelyn Gourvennec;4-4-2;1082
5;6;Jocelyn Gourvennec;4-4-2;1082
6;7;Jocelyn Gourvennec;4-4-2;1082
7;8;Jocelyn Gourvennec;4-4-2;1082
8;9;Jocelyn Gourvennec;4-4-2;1082
9;10;Jocelyn Gourvennec;4-2-3-1;1082
10;11;Jocelyn Gourvennec;4-4-2;1082
11;12;Jocelyn Gourvennec;4-4-2;1082
12;13;Jocelyn Gourvennec;4-4-2;1082
13;14;Jocelyn Gourvennec;4-4-2;1082
14;15;Jocelyn Gourvennec;4-4-2;1082
15;16;Jocelyn Gourvennec;4-4-2;1082
16;17;Jocelyn Gourvennec;4-2-3-1;1082
17;18;Jocelyn Gourvennec;4-4-2;1082
18;19;Jocelyn Gourvennec;4-4-2;1082
19;20;Jocelyn Gourvennec;4-4-2;1082
20;21;Jocelyn Gourvennec;4-4-2;1082
21;22;Jocelyn Gourvennec;4-4-2;1082
22;23;Jocelyn Gourvennec;4-4-2;1082
23;24;Jocelyn Gourvennec;4-4-2;1082
24;25;Jocelyn Gourvennec;4-4-2;1082
25;26;Jocelyn Gourvennec;4-2-3-1;1082
26;27;Jocelyn Gourvennec;4-2-3-1;1082
27;28;Jocelyn Gourvennec;4-2-3-1;1082
28;29;Jocelyn Gourvennec;4-2-3-1;1082
29;30;Jocelyn Gourvennec;4-2-3-1;1082
30;31;Jocelyn Gourvennec;4-4-2;1082
31;32;Jocelyn Gourvennec;4-2-3-1;1082
32;33;Jocelyn Gourvennec;4-2-3-1;1082
33;34;Jocelyn Gourvennec;4-4-2;1082
34;35;Jocelyn Gourvennec;4-4-2;1082
35;36;Jocelyn Gourvennec;4-4-2;1082
36;37;Jocelyn Gourvennec;4-4-2;1082
37;38;Jocelyn Gourvennec;4-4-2;1082
