;jor;coach;system;teamid
0;1;Dmitriy Parfenov;4-2-3-1;3729
1;2;Dmitriy Parfenov;4-4-2;3729
2;3;Dmitriy Parfenov;3-4-3;3729
3;4;Dmitriy Parfenov;3-4-3;3729
4;5;Dmitriy Parfenov;4-2-3-1;3729
5;6;Dmitriy Parfenov;3-4-2-1;3729
6;7;Miodrag Bozovic;4-1-4-1;3729
7;8;Miodrag Bozovic;4-1-4-1;3729
8;9;Miodrag Bozovic;4-1-4-1;3729
9;10;Miodrag Bozovic;4-1-4-1;3729
10;11;Miodrag Bozovic;4-1-4-1;3729
11;12;Miodrag Bozovic;4-1-4-1;3729
12;13;Miodrag Bozovic;4-1-4-1;3729
13;14;Miodrag Bozovic;4-1-4-1;3729
14;15;Miodrag Bozovic;4-1-4-1;3729
15;16;Miodrag Bozovic;4-1-4-1;3729
16;17;Miodrag Bozovic;4-1-4-1;3729
17;18;Miodrag Bozovic;4-1-4-1;3729
18;19;Miodrag Bozovic;4-1-4-1;3729
19;20;Miodrag Bozovic;4-3-3;3729
20;21;Miodrag Bozovic;4-3-3;3729
21;22;Miodrag Bozovic;4-3-3;3729
22;23;Miodrag Bozovic;4-4-2;3729
23;24;Miodrag Bozovic;4-1-4-1;3729
24;25;Miodrag Bozovic;4-1-4-1;3729
25;26;Miodrag Bozovic;4-1-4-1;3729
26;27;Miodrag Bozovic;4-1-4-1;3729
27;28;Miodrag Bozovic;4-1-4-1;3729
28;29;Miodrag Bozovic;4-1-4-1;3729
29;30;Miodrag Bozovic;4-1-4-1;3729
