;jor;coach;system;teamid
0;1;Antoine Kombouaré;4-1-4-1;995
1;2;Antoine Kombouaré;4-2-3-1;995
2;3;Antoine Kombouaré;4-4-2;995
3;4;Antoine Kombouaré;4-2-3-1;995
4;5;Antoine Kombouaré;4-2-3-1;995
5;6;Antoine Kombouaré;4-2-3-1;995
6;7;Antoine Kombouaré;4-4-1-1;995
7;8;Antoine Kombouaré;4-3-3;995
8;9;Antoine Kombouaré;4-4-1-1;995
9;10;Antoine Kombouaré;4-2-3-1;995
10;11;Antoine Kombouaré;4-3-3;995
11;12;Antoine Kombouaré;4-2-3-1;995
12;13;Antoine Kombouaré;4-2-3-1;995
13;14;Antoine Kombouaré;4-2-3-1;995
14;15;Antoine Kombouaré;4-3-3;995
15;16;Antoine Kombouaré;4-3-3;995
16;17;Antoine Kombouaré;4-2-3-1;995
17;18;Antoine Kombouaré;5-4-1;995
18;19;Antoine Kombouaré;4-1-4-1;995
19;20;Antoine Kombouaré;5-3-2;995
20;21;Antoine Kombouaré;5-4-1;995
21;22;Antoine Kombouaré;5-3-2;995
22;23;Antoine Kombouaré;5-3-2;995
23;24;Antoine Kombouaré;5-4-1;995
24;25;Antoine Kombouaré;3-4-3;995
25;26;Antoine Kombouaré;5-3-2;995
26;27;Antoine Kombouaré;3-4-1-2;995
27;28;Antoine Kombouaré;3-4-3;995
28;29;Antoine Kombouaré;3-5-2;995
29;30;Antoine Kombouaré;3-4-1-2;995
30;31;Antoine Kombouaré;5-4-1;995
31;32;Antoine Kombouaré;4-2-3-1;995
32;33;Antoine Kombouaré;3-4-3;995
33;34;Antoine Kombouaré;4-2-3-1;995
34;35;Antoine Kombouaré;3-5-2;995
35;36;Antoine Kombouaré;4-2-3-1;995
36;37;Antoine Kombouaré;3-5-2;995
37;38;Antoine Kombouaré;3-4-2-1;995
