;jor;coach;system;teamid
0;1;Jostein Grindhaug;4-3-3;2761
1;2;Jostein Grindhaug;4-3-3;2761
2;3;Jostein Grindhaug;4-3-3;2761
3;4;Jostein Grindhaug;4-3-3;2761
4;5;Jostein Grindhaug;4-3-3;2761
5;6;Jostein Grindhaug;4-3-3;2761
6;7;Jostein Grindhaug;4-4-2;2761
7;8;Jostein Grindhaug;4-3-3;2761
8;9;Jostein Grindhaug;4-4-2;2761
9;10;Jostein Grindhaug;4-5-1;2761
10;11;Jostein Grindhaug;4-4-1-1;2761
11;12;Jostein Grindhaug;4-4-1-1;2761
12;13;Jostein Grindhaug;4-4-1-1;2761
13;14;Jostein Grindhaug;5-4-1;2761
14;15;Jostein Grindhaug;4-4-2;2761
15;16;Jostein Grindhaug;4-3-3;2761
16;17;Jostein Grindhaug;4-4-2;2761
17;18;Jostein Grindhaug;4-4-2;2761
18;19;Jostein Grindhaug;3-4-3;2761
19;20;Jostein Grindhaug;3-4-3;2761
20;21;Jostein Grindhaug;4-3-3;2761
21;22;Jostein Grindhaug;3-4-3;2761
22;23;Jostein Grindhaug;3-5-2;2761
23;24;Jostein Grindhaug;3-4-3;2761
24;25;Jostein Grindhaug;3-4-3;2761
25;26;Jostein Grindhaug;3-4-3;2761
26;27;Jostein Grindhaug;3-4-3;2761
27;28;Jostein Grindhaug;3-4-3;2761
28;29;Jostein Grindhaug;3-4-3;2761
29;30;Jostein Grindhaug;4-2-3-1;2761
