;jor;coach;system;teamid
0;1;Marc Brys;3-4-2-1;2727
1;2;Marc Brys;5-4-1;2727
2;3;Marc Brys;3-4-2-1;2727
3;4;Marc Brys;3-4-2-1;2727
4;5;Marc Brys;3-4-2-1;2727
5;6;Marc Brys;3-4-2-1;2727
6;7;Marc Brys;3-4-2-1;2727
7;8;Marc Brys;3-4-2-1;2727
8;9;Marc Brys;3-4-2-1;2727
9;10;Marc Brys;3-4-2-1;2727
10;11;Marc Brys;3-4-2-1;2727
11;12;Marc Brys;3-4-2-1;2727
12;13;Marc Brys;3-4-2-1;2727
13;14;Marc Brys;3-4-2-1;2727
14;15;Marc Brys;3-4-2-1;2727
15;16;Marc Brys;3-4-2-1;2727
16;17;Marc Brys;3-4-2-1;2727
17;18;Marc Brys;3-4-2-1;2727
18;19;Marc Brys;3-4-3;2727
19;20;Marc Brys;3-4-2-1;2727
20;21;Marc Brys;3-4-2-1;2727
21;22;Marc Brys;?;2727
22;23;Marc Brys;3-4-1-2;2727
23;24;Marc Brys;4-2-3-1;2727
24;25;Marc Brys;3-4-2-1;2727
25;26;Marc Brys;3-4-2-1;2727
26;27;Marc Brys;3-4-2-1;2727
27;28;Marc Brys;3-4-3;2727
28;29;Marc Brys;3-4-2-1;2727
29;30;Marc Brys;3-4-2-1;2727
30;31;Marc Brys;3-4-1-2;2727
31;32;Marc Brys;3-4-3;2727
32;33;Marc Brys;3-4-2-1;2727
33;34;Marc Brys;3-4-2-1;2727
