;jor;coach;system;teamid
0;1;Jagoba Arrasate;4-1-4-1;331
1;2;Jagoba Arrasate;4-1-4-1;331
2;3;Jagoba Arrasate;4-1-4-1;331
3;4;Jagoba Arrasate;4-1-4-1;331
4;5;Jagoba Arrasate;4-1-4-1;331
5;6;Jagoba Arrasate;4-3-3;331
6;7;Jagoba Arrasate;4-1-4-1;331
7;8;Jagoba Arrasate;4-3-3;331
8;9;Jagoba Arrasate;5-3-2;331
9;10;Jagoba Arrasate;4-1-4-1;331
10;11;Jagoba Arrasate;5-3-2;331
11;12;Jagoba Arrasate;4-4-2;331
12;13;Jagoba Arrasate;4-2-3-1;331
13;14;Jagoba Arrasate;3-5-2;331
14;15;Jagoba Arrasate;4-4-2;331
15;16;Jagoba Arrasate;5-3-2;331
16;17;Jagoba Arrasate;4-1-4-1;331
17;18;Jagoba Arrasate;4-3-3;331
18;19;Jagoba Arrasate;5-3-2;331
19;20;Jagoba Arrasate;4-4-2;331
20;21;Jagoba Arrasate;4-3-3;331
21;22;Jagoba Arrasate;4-4-2;331
22;23;Jagoba Arrasate;4-1-4-1;331
23;24;Jagoba Arrasate;4-1-4-1;331
24;25;Jagoba Arrasate;4-1-4-1;331
25;26;Jagoba Arrasate;4-4-1-1;331
26;27;Jagoba Arrasate;4-4-2;331
27;28;Jagoba Arrasate;4-4-1-1;331
28;29;Jagoba Arrasate;4-1-4-1;331
29;30;Jagoba Arrasate;4-3-3;331
30;31;Jagoba Arrasate;4-3-3;331
31;32;Jagoba Arrasate;4-4-2;331
32;33;Jagoba Arrasate;4-1-4-1;331
33;34;Jagoba Arrasate;5-3-2;331
34;35;Jagoba Arrasate;5-3-2;331
35;36;Jagoba Arrasate;4-2-3-1;331
36;37;Jagoba Arrasate;4-1-4-1;331
37;38;Jagoba Arrasate;4-3-3;331
