;jor;coach;system;teamid
0;1;Giacomo Gattuso;4-4-2;1047
1;2;Giacomo Gattuso;4-4-2;1047
2;3;Giacomo Gattuso;4-4-2;1047
3;4;Giacomo Gattuso;4-4-2;1047
4;5;Giacomo Gattuso;4-4-2;1047
5;6;Giacomo Gattuso;4-4-2;1047
6;7;Giacomo Gattuso;4-4-2;1047
7;8;Giacomo Gattuso;4-4-2;1047
8;9;Giacomo Gattuso;4-4-2;1047
9;10;Giacomo Gattuso;4-4-2;1047
10;11;Giacomo Gattuso;4-4-2;1047
11;12;Giacomo Gattuso;4-4-2;1047
12;13;Giacomo Gattuso;4-4-2;1047
13;14;Giacomo Gattuso;4-4-2;1047
14;15;Giacomo Gattuso;4-4-2;1047
15;16;Giacomo Gattuso;3-4-1-2;1047
16;17;Giacomo Gattuso;4-4-2;1047
17;18;Giacomo Gattuso;4-4-2;1047
18;19;Giacomo Gattuso;4-3-3;1047
19;20;Giacomo Gattuso;4-4-2;1047
20;21;Giacomo Gattuso;4-4-2;1047
21;22;Giacomo Gattuso;4-4-2;1047
22;23;Giacomo Gattuso;4-3-3;1047
23;24;Giacomo Gattuso;4-4-2;1047
24;25;Giacomo Gattuso;4-4-2;1047
25;26;Giacomo Gattuso;4-2-3-1;1047
26;27;Giacomo Gattuso;4-4-2;1047
27;28;Giacomo Gattuso;4-2-3-1;1047
28;29;Giacomo Gattuso;4-4-2;1047
29;30;Giacomo Gattuso;4-4-2;1047
30;31;Giacomo Gattuso;4-4-2;1047
31;32;Giacomo Gattuso;3-4-1-2;1047
32;33;Giacomo Gattuso;3-4-1-2;1047
33;34;Giacomo Gattuso;3-4-1-2;1047
34;35;Giacomo Gattuso;3-4-1-2;1047
35;36;Giacomo Gattuso;4-2-3-1;1047
36;37;Giacomo Gattuso;4-4-2;1047
37;38;Giacomo Gattuso;4-4-1-1;1047
