;jor;coach;system;teamid
0;1;Fabio Caserta;4-2-3-1;4171
1;2;Fabio Caserta;4-4-1-1;4171
2;3;Fabio Caserta;4-1-4-1;4171
3;4;Fabio Caserta;4-3-3;4171
4;5;Fabio Caserta;4-3-3;4171
5;6;Fabio Caserta;4-3-3;4171
6;7;Fabio Caserta;4-3-3;4171
7;8;Fabio Caserta;4-2-3-1;4171
8;9;Fabio Caserta;4-2-3-1;4171
9;10;Fabio Caserta;4-2-3-1;4171
10;11;Fabio Caserta;4-2-3-1;4171
11;12;Fabio Caserta;4-2-3-1;4171
12;13;Fabio Caserta;4-2-3-1;4171
13;14;Fabio Caserta;4-2-3-1;4171
14;15;Fabio Caserta;4-3-3;4171
15;16;Fabio Caserta;4-3-3;4171
16;17;Fabio Caserta;4-3-3;4171
17;18;Fabio Caserta;4-3-3;4171
18;19;Fabio Caserta;4-3-3;4171
19;20;Fabio Caserta;4-3-3;4171
20;21;Fabio Caserta;4-3-3;4171
21;22;Fabio Caserta;4-3-3;4171
22;23;Fabio Caserta;4-3-3;4171
23;24;Fabio Caserta;4-3-3;4171
24;25;Fabio Caserta;4-3-3;4171
25;26;Fabio Caserta;4-3-3;4171
26;27;Fabio Caserta;4-3-3;4171
27;28;Fabio Caserta;4-3-3;4171
28;29;Fabio Caserta;4-3-3;4171
29;30;Fabio Caserta;4-3-1-2;4171
30;31;Fabio Caserta;4-3-1-2;4171
31;32;Fabio Caserta;4-3-3;4171
32;33;Fabio Caserta;4-3-3;4171
33;34;Fabio Caserta;4-3-3;4171
34;35;Fabio Caserta;4-3-3;4171
35;36;Fabio Caserta;4-3-3;4171
36;37;Fabio Caserta;4-3-3;4171
37;38;Fabio Caserta;4-3-3;4171
