;jor;coach;system;teamid
0;1;Milan Rastavac;4-2-3-1;6676
1;2;Milan Rastavac;4-3-3;6676
2;3;Milan Rastavac;4-2-3-1;6676
3;4;Milan Rastavac;4-2-3-1;6676
4;5;Milan Rastavac;4-4-1-1;6676
5;6;Milan Rastavac;4-4-2;6676
6;7;Milan Rastavac;4-4-2;6676
7;8;Milan Rastavac;4-2-3-1;6676
8;9;Milan Rastavac;4-2-3-1;6676
9;10;Milan Rastavac;4-2-3-1;6676
10;11;Milan Rastavac;4-2-3-1;6676
11;12;Milan Rastavac;4-2-3-1;6676
12;13;Milan Rastavac;4-2-3-1;6676
13;14;Milan Rastavac;4-2-3-1;6676
14;15;Milan Rastavac;4-2-3-1;6676
15;16;Milan Rastavac;4-2-3-1;6676
16;17;Milan Rastavac;4-2-3-1;6676
17;18;Milan Rastavac;4-2-3-1;6676
18;19;Milan Rastavac;4-2-3-1;6676
19;20;Milan Rastavac;4-2-3-1;6676
20;21;Milan Rastavac;4-2-3-1;6676
21;22;Milan Rastavac;4-2-3-1;6676
22;23;Milan Rastavac;4-2-3-1;6676
23;24;Milan Rastavac;4-2-3-1;6676
24;25;Milan Rastavac;4-2-3-1;6676
25;26;Milan Rastavac;4-2-3-1;6676
