;jor;coach;system;teamid
0;1;Riza Calimbay;4-1-4-1;2381
1;2;Riza Calimbay;4-3-3;2381
2;3;Riza Calimbay;4-2-3-1;2381
3;4;Riza Calimbay;4-2-3-1;2381
4;5;Riza Calimbay;4-2-3-1;2381
5;6;Riza Calimbay;4-2-3-1;2381
6;7;Riza Calimbay;4-2-3-1;2381
7;8;Riza Calimbay;4-2-3-1;2381
8;9;Riza Calimbay;4-4-2;2381
9;10;Riza Calimbay;4-1-4-1;2381
10;11;Riza Calimbay;4-1-4-1;2381
11;12;Riza Calimbay;4-2-3-1;2381
12;13;Riza Calimbay;4-2-3-1;2381
13;14;Riza Calimbay;4-1-4-1;2381
14;15;Riza Calimbay;4-1-4-1;2381
15;16;Riza Calimbay;4-1-4-1;2381
16;17;Riza Calimbay;4-1-4-1;2381
17;18;Riza Calimbay;4-1-4-1;2381
18;19;Riza Calimbay;4-1-4-1;2381
19;20;Riza Calimbay;4-1-4-1;2381
20;21;Riza Calimbay;4-1-4-1;2381
21;22;Riza Calimbay;4-1-4-1;2381
22;23;Riza Calimbay;4-1-4-1;2381
23;24;Riza Calimbay;4-1-4-1;2381
24;25;Riza Calimbay;4-1-4-1;2381
25;26;Riza Calimbay;4-1-4-1;2381
26;27;Riza Calimbay;4-1-4-1;2381
27;28;Riza Calimbay;4-1-4-1;2381
28;29;Riza Calimbay;4-1-4-1;2381
29;30;Riza Calimbay;4-1-4-1;2381
30;31;Riza Calimbay;4-1-4-1;2381
31;32;Riza Calimbay;4-1-4-1;2381
32;33;Riza Calimbay;4-1-4-1;2381
33;34;Riza Calimbay;4-1-4-1;2381
34;35;Riza Calimbay;4-1-4-1;2381
35;36;Riza Calimbay;4-2-3-1;2381
36;37;Riza Calimbay;4-1-4-1;2381
37;38;Riza Calimbay;4-2-3-1;2381
