;jor;coach;system;teamid
0;1;Álvaro Cervera;4-2-3-1;2687
1;2;Álvaro Cervera;4-4-2;2687
2;3;Álvaro Cervera;4-1-4-1;2687
3;4;Álvaro Cervera;4-4-2;2687
4;5;Álvaro Cervera;4-1-4-1;2687
5;6;Álvaro Cervera;4-4-2;2687
6;7;Álvaro Cervera;4-1-4-1;2687
7;8;Álvaro Cervera;4-4-2;2687
8;9;Álvaro Cervera;4-1-4-1;2687
9;10;Álvaro Cervera;4-4-2;2687
10;11;Álvaro Cervera;4-1-4-1;2687
11;12;Álvaro Cervera;4-4-2;2687
12;13;Álvaro Cervera;4-4-2;2687
13;14;Álvaro Cervera;4-4-2;2687
14;15;Álvaro Cervera;4-4-2;2687
15;16;Álvaro Cervera;4-4-2;2687
16;17;Álvaro Cervera;4-4-1-1;2687
17;18;Álvaro Cervera;4-4-2;2687
18;19;Álvaro Cervera;4-2-3-1;2687
19;20;Álvaro Cervera;4-2-3-1;2687
20;21;Sergio;4-4-2;2687
21;22;Sergio;4-4-2;2687
22;23;Sergio;4-4-2;2687
23;24;Sergio;4-4-2;2687
24;25;Sergio;3-4-1-2;2687
25;26;Sergio;3-4-3;2687
26;27;Sergio;4-4-2;2687
27;28;Sergio;4-4-2;2687
28;29;Sergio;4-4-2;2687
29;30;Sergio;4-4-2;2687
30;31;Sergio;4-4-2;2687
31;32;Sergio;4-2-3-1;2687
32;33;Sergio;4-4-2;2687
33;34;Sergio;4-2-3-1;2687
34;35;Sergio;4-4-2;2687
35;36;Sergio;4-2-3-1;2687
36;37;Sergio;4-4-2;2687
37;38;Sergio;4-4-2;2687
