;jor;coach;system;teamid
0;1;Veljko Paunovic;4-2-3-1;1032
1;2;Veljko Paunovic;4-2-3-1;1032
2;3;Veljko Paunovic;4-2-3-1;1032
3;4;Veljko Paunovic;4-2-3-1;1032
4;5;Veljko Paunovic;4-2-3-1;1032
5;6;Veljko Paunovic;4-2-3-1;1032
6;7;Veljko Paunovic;4-2-3-1;1032
7;8;Veljko Paunovic;4-2-3-1;1032
8;9;Veljko Paunovic;4-2-3-1;1032
9;10;Veljko Paunovic;4-2-3-1;1032
10;11;Veljko Paunovic;4-2-3-1;1032
11;12;Veljko Paunovic;4-2-3-1;1032
12;13;Veljko Paunovic;4-2-3-1;1032
13;14;Veljko Paunovic;4-1-4-1;1032
14;15;Veljko Paunovic;4-2-3-1;1032
15;16;Veljko Paunovic;3-5-2;1032
16;17;Veljko Paunovic;3-5-2;1032
17;18;Veljko Paunovic;4-2-3-1;1032
18;19;Veljko Paunovic;4-2-3-1;1032
19;20;Veljko Paunovic;4-1-4-1;1032
20;21;Veljko Paunovic;4-2-3-1;1032
21;22;Veljko Paunovic;3-5-2;1032
22;23;Veljko Paunovic;4-2-3-1;1032
23;24;Veljko Paunovic;4-2-3-1;1032
24;25;Veljko Paunovic;4-2-3-1;1032
25;26;Veljko Paunovic;4-2-3-1;1032
26;27;Veljko Paunovic;4-2-3-1;1032
27;28;Veljko Paunovic;4-3-1-2;1032
28;29;Veljko Paunovic;4-2-3-1;1032
29;30;Paul Ince;4-2-3-1;1032
30;31;Veljko Paunovic;4-2-3-1;1032
31;32;Veljko Paunovic;4-2-3-1;1032
32;33;Veljko Paunovic;4-2-3-1;1032
33;34;Paul Ince;4-2-3-1;1032
34;35;Paul Ince;4-2-3-1;1032
35;36;Paul Ince;4-2-3-1;1032
36;37;Paul Ince;4-2-3-1;1032
37;38;Paul Ince;4-2-3-1;1032
38;39;Paul Ince;4-2-3-1;1032
39;40;Paul Ince;4-2-3-1;1032
40;41;Paul Ince;4-2-3-1;1032
41;42;Paul Ince;4-4-2;1032
42;43;Paul Ince;4-2-3-1;1032
43;44;Paul Ince;4-4-2;1032
44;45;Paul Ince;4-2-3-1;1032
45;46;Paul Ince;4-2-3-1;1032
