;jor;coach;system;teamid
0;1;Zsolt Hornyák;3-5-2;37169
1;2;Zsolt Hornyák;3-5-2;37169
2;3;Zsolt Hornyák;4-2-3-1;37169
3;4;Zsolt Hornyák;4-2-3-1;37169
4;5;Zsolt Hornyák;4-2-3-1;37169
5;6;Zsolt Hornyák;4-2-3-1;37169
6;7;Zsolt Hornyák;4-2-3-1;37169
7;8;Zsolt Hornyák;4-2-3-1;37169
8;9;Zsolt Hornyák;4-2-3-1;37169
9;10;Zsolt Hornyák;4-4-2;37169
10;11;Zsolt Hornyák;4-2-3-1;37169
11;12;Zsolt Hornyák;4-2-3-1;37169
12;13;Zsolt Hornyák;4-2-3-1;37169
13;14;Zsolt Hornyák;4-4-2;37169
14;15;Zsolt Hornyák;4-2-3-1;37169
15;16;Zsolt Hornyák;4-3-3;37169
16;17;Zsolt Hornyák;4-3-3;37169
17;18;Zsolt Hornyák;4-1-4-1;37169
18;19;Zsolt Hornyák;4-1-4-1;37169
19;20;Zsolt Hornyák;4-1-4-1;37169
20;21;Zsolt Hornyák;4-2-3-1;37169
21;22;Zsolt Hornyák;4-2-3-1;37169
22;23;Zsolt Hornyák;3-5-2;37169
23;24;Zsolt Hornyák;4-2-3-1;37169
24;25;Zsolt Hornyák;4-2-3-1;37169
25;26;Zsolt Hornyák;4-2-3-1;37169
26;27;Zsolt Hornyák;4-2-3-1;37169
27;28;Zsolt Hornyák;4-2-3-1;37169
28;29;Zsolt Hornyák;4-1-4-1;37169
29;30;Zsolt Hornyák;3-4-2-1;37169
30;31;Zsolt Hornyák;3-4-2-1;37169
31;32;Zsolt Hornyák;3-4-2-1;37169
32;33;Zsolt Hornyák;4-2-3-1;37169
