;jor;coach;system;teamid
0;1;Jack Ross;4-2-3-1;903
1;2;Jack Ross;4-2-3-1;903
2;3;Jack Ross;4-2-3-1;903
3;4;Jack Ross;4-4-1-1;903
4;5;Jack Ross;4-2-3-1;903
5;6;Jack Ross;3-5-2;903
6;7;Jack Ross;4-2-3-1;903
7;8;Jack Ross;3-5-2;903
8;9;Jack Ross;4-2-3-1;903
9;10;Jack Ross;3-4-3;903
10;11;Jack Ross;4-3-3;903
11;12;Jack Ross;3-5-2;903
12;13;Jack Ross;4-2-3-1;903
13;14;David Gray;3-4-1-2;903
14;15;Jack Ross;3-5-2;903
15;16;Jack Ross;3-4-1-2;903
16;17;Jack Ross;3-5-2;903
17;18;David Gray;4-2-3-1;903
18;19;Shaun Maloney;3-4-1-2;903
19;20;Shaun Maloney;3-4-1-2;903
20;21;Shaun Maloney;3-5-2;903
21;22;Shaun Maloney;3-4-1-2;903
22;23;Shaun Maloney;3-5-2;903
23;24;Shaun Maloney;3-4-1-2;903
24;25;Shaun Maloney;3-4-1-2;903
25;26;Shaun Maloney;4-2-3-1;903
26;27;Shaun Maloney;3-4-2-1;903
27;28;Shaun Maloney;3-4-2-1;903
28;29;Shaun Maloney;3-4-2-1;903
29;30;Shaun Maloney;3-4-2-1;903
30;31;Shaun Maloney;4-3-3;903
31;32;Shaun Maloney;3-4-3;903
32;33;Shaun Maloney;5-4-1;903
