;jor;coach;system;teamid
0;1;Jimmy Thelin;4-3-3;1101
1;2;Jimmy Thelin;4-3-3;1101
2;3;Jimmy Thelin;4-2-3-1;1101
3;4;Jimmy Thelin;4-2-3-1;1101
4;5;Jimmy Thelin;4-3-3;1101
5;6;Jimmy Thelin;4-2-3-1;1101
6;7;Jimmy Thelin;4-2-3-1;1101
7;8;Jimmy Thelin;4-2-3-1;1101
8;9;Jimmy Thelin;4-3-3;1101
9;10;Jimmy Thelin;4-2-3-1;1101
10;11;Jimmy Thelin;4-3-3;1101
11;12;Jimmy Thelin;4-2-3-1;1101
12;13;Jimmy Thelin;4-3-3;1101
13;14;Jimmy Thelin;4-2-3-1;1101
14;15;Jimmy Thelin;4-3-3;1101
15;16;Jimmy Thelin;4-3-3;1101
16;17;Jimmy Thelin;4-3-3;1101
17;18;Jimmy Thelin;4-3-3;1101
18;19;Jimmy Thelin;4-3-3;1101
19;20;Jimmy Thelin;4-3-3;1101
20;21;Jimmy Thelin;4-3-3;1101
21;22;Jimmy Thelin;4-3-3;1101
22;23;Jimmy Thelin;4-3-3;1101
23;24;Jimmy Thelin;4-3-3;1101
24;25;Jimmy Thelin;4-3-3;1101
25;26;Jimmy Thelin;4-3-3;1101
26;27;Jimmy Thelin;4-3-3;1101
27;28;Jimmy Thelin;4-3-3;1101
28;29;Jimmy Thelin;4-2-3-1;1101
29;30;Jimmy Thelin;4-3-3;1101
