;jor;coach;system;teamid
0;1;Henrik Rydström;4-3-3;3654
1;2;Henrik Rydström;4-3-3;3654
2;3;Henrik Rydström;4-3-3;3654
3;4;Henrik Rydström;4-3-3;3654
4;5;Henrik Rydström;3-4-3;3654
5;6;Henrik Rydström;3-4-3;3654
6;7;Henrik Rydström;4-3-3;3654
7;8;Henrik Rydström;4-2-3-1;3654
8;9;Henrik Rydström;3-4-3;3654
9;10;Henrik Rydström;4-2-3-1;3654
10;11;Henrik Rydström;4-2-3-1;3654
11;12;Henrik Rydström;4-3-3;3654
12;13;Henrik Rydström;4-2-3-1;3654
13;14;Henrik Rydström;4-2-3-1;3654
14;15;Henrik Rydström;4-2-3-1;3654
15;16;Henrik Rydström;4-2-3-1;3654
16;17;Henrik Rydström;4-2-3-1;3654
17;18;Henrik Rydström;4-3-3;3654
18;19;Henrik Rydström;4-3-3;3654
19;20;Henrik Rydström;5-4-1;3654
20;21;Henrik Rydström;?;3654
21;22;Henrik Rydström;4-3-3;3654
22;23;Henrik Rydström;4-3-3;3654
23;24;Henrik Rydström;4-2-3-1;3654
24;25;Henrik Rydström;4-3-3;3654
25;26;Henrik Rydström;4-3-3;3654
26;27;Henrik Rydström;4-2-3-1;3654
27;28;Henrik Rydström;4-3-3;3654
28;29;Henrik Rydström;4-3-3;3654
29;30;Henrik Rydström;3-5-2;3654
