;jor;coach;system;teamid
0;1;Christian Preußer;4-3-3;38
1;2;Christian Preußer;4-4-2;38
2;3;Christian Preußer;4-4-2;38
3;4;Christian Preußer;4-2-3-1;38
4;5;Christian Preußer;4-2-3-1;38
5;6;Christian Preußer;4-2-3-1;38
6;7;Christian Preußer;4-4-2;38
7;8;Christian Preußer;4-4-2;38
8;9;Christian Preußer;4-2-3-1;38
9;10;Christian Preußer;4-3-3;38
10;11;Christian Preußer;4-1-4-1;38
11;12;Christian Preußer;4-3-3;38
12;13;Christian Preußer;4-3-3;38
13;14;Christian Preußer;4-4-2;38
14;15;Christian Preußer;4-4-2;38
15;16;Christian Preußer;3-4-1-2;38
16;17;Christian Preußer;3-4-1-2;38
17;18;Christian Preußer;3-4-1-2;38
18;19;Christian Preußer;4-2-3-1;38
19;20;Christian Preußer;4-4-2;38
20;21;Christian Preußer;4-4-2;38
21;22;Daniel Thioune;4-4-2;38
22;23;Daniel Thioune;4-3-3;38
23;24;Daniel Thioune;4-1-4-1;38
24;25;Daniel Thioune;4-4-2;38
25;26;Daniel Thioune;4-2-3-1;38
26;27;Daniel Thioune;4-2-3-1;38
27;28;Daniel Thioune;4-4-2;38
28;29;Daniel Thioune;4-2-3-1;38
29;30;Daniel Thioune;4-2-3-1;38
30;31;Daniel Thioune;4-2-3-1;38
31;32;Daniel Thioune;4-4-2;38
32;33;Daniel Thioune;4-2-3-1;38
33;34;Daniel Thioune;5-4-1;38
