;jor;coach;system;teamid
0;1;Jorge Almirón;4-3-3;333
1;2;Jorge Almirón;4-4-2;333
2;3;Jorge Almirón;4-3-3;333
3;4;Jorge Almirón;4-4-2;333
4;5;Jorge Almirón;4-4-2;333
5;6;Jorge Almirón;4-3-3;333
6;7;Rodrigo Acosta;4-3-3;333
7;8;Rodrigo Acosta;3-5-2;333
8;9;Rodrigo Acosta;4-3-3;333
9;10;Rodrigo Acosta;4-3-3;333
10;11;Frank Kudelka;4-3-3;333
11;12;Frank Kudelka;5-3-2;333
12;13;Frank Kudelka;5-3-2;333
13;14;Frank Kudelka;5-3-2;333
14;15;Frank Kudelka;4-3-3;333
15;16;Frank Kudelka;4-3-3;333
16;17;Frank Kudelka;4-3-3;333
17;18;Frank Kudelka;4-3-3;333
18;19;Frank Kudelka;4-3-3;333
19;20;Frank Kudelka;4-3-3;333
20;21;Frank Kudelka;4-3-3;333
21;22;Frank Kudelka;4-3-3;333
22;23;Frank Kudelka;4-3-3;333
23;24;Frank Kudelka;4-3-3;333
24;25;Frank Kudelka;4-3-3;333
25;26;Frank Kudelka;4-3-3;333
26;27;Frank Kudelka;4-1-3-2;333
