;jor;coach;system;teamid
0;1;Eusebio Di Francesco;3-4-2-1;276
1;2;Eusebio Di Francesco;3-4-2-1;276
2;3;Eusebio Di Francesco;3-4-2-1;276
3;4;Igor Tudor;3-4-2-1;276
4;5;Igor Tudor;3-4-2-1;276
5;6;Igor Tudor;3-4-1-2;276
6;7;Igor Tudor;3-4-2-1;276
7;8;Igor Tudor;3-4-2-1;276
8;9;Igor Tudor;3-4-2-1;276
9;10;Igor Tudor;3-4-2-1;276
10;11;Igor Tudor;3-4-2-1;276
11;12;Igor Tudor;3-4-2-1;276
12;13;Igor Tudor;3-4-2-1;276
13;14;Igor Tudor;3-4-2-1;276
14;15;Igor Tudor;3-4-2-1;276
15;16;Igor Tudor;3-4-2-1;276
16;17;Igor Tudor;3-4-2-1;276
17;18;Igor Tudor;3-4-2-1;276
18;19;Igor Tudor;3-4-2-1;276
19;20;Igor Tudor;3-4-1-2;276
20;21;Igor Tudor;3-4-2-1;276
21;22;Igor Tudor;3-4-2-1;276
22;23;Igor Tudor;3-4-2-1;276
23;24;Igor Tudor;3-4-2-1;276
24;25;Igor Tudor;3-4-2-1;276
25;26;Igor Tudor;3-4-2-1;276
26;27;Igor Tudor;3-4-2-1;276
27;28;Igor Tudor;3-4-2-1;276
28;29;Igor Tudor;3-4-2-1;276
29;30;Igor Tudor;3-4-2-1;276
30;31;Igor Tudor;3-4-2-1;276
31;32;Igor Tudor;3-4-2-1;276
32;33;Igor Tudor;3-4-2-1;276
33;34;Igor Tudor;3-4-2-1;276
34;35;Igor Tudor;3-4-2-1;276
35;36;Igor Tudor;3-4-2-1;276
36;37;Igor Tudor;3-4-2-1;276
37;38;Igor Tudor;3-4-2-1;276
