;jor;coach;system;teamid
0;1;Romain Revelli;5-3-2;9202
1;2;Romain Revelli;5-3-2;9202
2;3;Romain Revelli;5-3-2;9202
3;4;Romain Revelli;5-3-2;9202
4;5;Romain Revelli;5-3-2;9202
5;6;Romain Revelli;5-3-2;9202
6;7;Romain Revelli;5-3-2;9202
7;8;Romain Revelli;4-1-4-1;9202
8;9;Romain Revelli;5-3-2;9202
9;10;Romain Revelli;3-5-2;9202
10;11;Romain Revelli;3-5-2;9202
11;12;Romain Revelli;3-4-3;9202
12;13;Romain Revelli;5-4-1;9202
13;14;Romain Revelli;4-2-3-1;9202
14;15;Romain Revelli;5-4-1;9202
15;16;Romain Revelli;4-3-3;9202
16;17;Romain Revelli;4-5-1;9202
17;18;Romain Revelli;4-5-1;9202
18;19;Romain Revelli;3-5-2;9202
19;20;Romain Revelli;3-5-2;9202
20;21;Romain Revelli;3-5-2;9202
21;22;Romain Revelli;3-5-2;9202
22;23;Romain Revelli;3-4-1-2;9202
23;24;Romain Revelli;3-4-1-2;9202
24;25;Romain Revelli;3-4-1-2;9202
25;26;Romain Revelli;3-4-1-2;9202
26;27;Romain Revelli;3-4-1-2;9202
27;28;Romain Revelli;3-4-1-2;9202
28;29;Romain Revelli;3-4-1-2;9202
29;30;Romain Revelli;3-4-1-2;9202
30;31;Romain Revelli;3-4-1-2;9202
31;32;Romain Revelli;3-4-1-2;9202
32;33;Romain Revelli;3-4-1-2;9202
33;34;Romain Revelli;4-4-1-1;9202
34;35;Romain Revelli;4-4-1-1;9202
35;36;Romain Revelli;4-4-1-1;9202
36;37;Romain Revelli;4-4-1-1;9202
37;38;Romain Revelli;4-4-1-1;9202
