;jor;coach;system;teamid
0;1;David Horejs;4-2-3-1;1321
1;2;David Horejs;4-2-3-1;1321
2;3;David Horejs;4-4-2;1321
3;4;David Horejs;4-5-1;1321
4;5;David Horejs;4-2-3-1;1321
5;6;David Horejs;4-2-3-1;1321
6;7;David Horejs;4-2-3-1;1321
7;8;David Horejs;4-2-3-1;1321
8;9;David Horejs;4-2-3-1;1321
9;10;David Horejs;4-2-3-1;1321
10;11;David Horejs;4-1-4-1;1321
11;12;David Horejs;4-2-3-1;1321
12;13;David Horejs;4-2-3-1;1321
13;14;David Horejs;4-2-3-1;1321
14;15;David Horejs;4-2-3-1;1321
15;16;David Horejs;4-2-3-1;1321
16;17;David Horejs;4-2-3-1;1321
17;18;David Horejs;5-3-2;1321
18;19;David Horejs;3-4-3;1321
19;20;David Horejs;4-2-3-1;1321
20;21;David Horejs;4-2-3-1;1321
21;22;David Horejs;4-2-3-1;1321
22;23;David Horejs;4-2-3-1;1321
23;24;David Horejs;4-2-3-1;1321
24;25;David Horejs;4-2-3-1;1321
25;26;David Horejs;5-3-2;1321
26;27;David Horejs;4-2-3-1;1321
27;28;David Horejs;4-2-3-1;1321
28;29;David Horejs;4-2-3-1;1321
29;30;David Horejs;4-2-3-1;1321
