;jor;coach;system;teamid
0;1;Zoran Zeljkovic;4-2-3-1;433
1;2;Zoran Zeljkovic;4-2-3-1;433
2;3;Zoran Zeljkovic;4-2-3-1;433
3;4;Zoran Zeljkovic;4-2-3-1;433
4;5;Zoran Zeljkovic;4-3-3;433
5;6;Zoran Zeljkovic;4-2-3-1;433
6;7;Zoran Zeljkovic;4-2-3-1;433
7;8;Zoran Zeljkovic;4-2-3-1;433
8;9;Zoran Zeljkovic;4-3-3;433
9;10;Zoran Zeljkovic;4-2-3-1;433
10;11;Zoran Zeljkovic;4-2-3-1;433
11;12;Zoran Zeljkovic;4-2-3-1;433
12;13;Zoran Zeljkovic;4-2-3-1;433
13;14;Zoran Zeljkovic;4-2-3-1;433
14;15;Zoran Zeljkovic;4-2-3-1;433
15;16;Zoran Zeljkovic;4-3-3;433
16;17;Zoran Zeljkovic;4-2-3-1;433
17;18;Zoran Zeljkovic;4-2-3-1;433
18;19;Zoran Zeljkovic;4-2-3-1;433
19;20;Zoran Zeljkovic;4-2-3-1;433
20;21;Zoran Zeljkovic;4-2-3-1;433
21;22;Zoran Zeljkovic;4-2-3-1;433
22;23;Zoran Zeljkovic;4-2-3-1;433
23;24;Zoran Zeljkovic;4-2-3-1;433
24;25;Zoran Zeljkovic;4-3-3;433
25;26;Zoran Zeljkovic;4-2-3-1;433
26;27;Zoran Zeljkovic;4-2-3-1;433
27;28;Zoran Zeljkovic;4-2-3-1;433
28;29;Zoran Zeljkovic;4-2-3-1;433
29;30;Zoran Zeljkovic;4-2-3-1;433
30;31;Zoran Zeljkovic;4-2-3-1;433
31;32;Zoran Zeljkovic;4-2-3-1;433
32;33;Zoran Zeljkovic;4-2-3-1;433
33;34;Zoran Zeljkovic;4-2-3-1;433
34;35;Zoran Zeljkovic;4-1-4-1;433
35;36;Zoran Zeljkovic;4-2-3-1;433
