;jor;coach;system;teamid
0;1;Stéphane Moulin;4-2-3-1;1162
1;2;Stéphane Moulin;4-2-3-1;1162
2;3;Stéphane Moulin;4-2-3-1;1162
3;4;Stéphane Moulin;4-4-2;1162
4;5;Stéphane Moulin;4-4-2;1162
5;6;Stéphane Moulin;4-2-3-1;1162
6;7;Stéphane Moulin;4-2-3-1;1162
7;8;Stéphane Moulin;3-4-1-2;1162
8;9;Stéphane Moulin;4-2-3-1;1162
9;10;Stéphane Moulin;4-3-3;1162
10;11;Stéphane Moulin;4-3-3;1162
11;12;Stéphane Moulin;4-1-4-1;1162
12;13;Stéphane Moulin;4-3-3;1162
13;14;Stéphane Moulin;4-3-3;1162
14;15;Stéphane Moulin;3-4-3;1162
15;16;Stéphane Moulin;4-3-3;1162
16;17;Stéphane Moulin;3-4-2-1;1162
17;18;Stéphane Moulin;3-5-2;1162
18;19;Stéphane Moulin;3-5-2;1162
19;20;Stéphane Moulin;3-5-2;1162
20;21;Stéphane Moulin;3-5-2;1162
21;22;Stéphane Moulin;3-5-2;1162
22;23;Stéphane Moulin;3-5-2;1162
23;24;Stéphane Moulin;5-4-1;1162
24;25;Stéphane Moulin;3-5-2;1162
25;26;Stéphane Moulin;5-4-1;1162
26;27;Stéphane Moulin;5-4-1;1162
27;28;Stéphane Moulin;3-4-2-1;1162
28;29;Stéphane Moulin;3-4-3;1162
29;30;Stéphane Moulin;3-4-2-1;1162
30;31;Stéphane Moulin;3-4-2-1;1162
31;32;Stéphane Moulin;3-4-2-1;1162
32;33;Stéphane Moulin;3-5-2;1162
33;34;Stéphane Moulin;3-5-2;1162
34;35;Stéphane Moulin;3-5-2;1162
35;36;Stéphane Moulin;3-5-2;1162
36;37;Stéphane Moulin;3-5-2;1162
37;38;Stéphane Moulin;3-5-2;1162
