;jor;coach;system;teamid
0;1;Szabolcs Huszti;4-2-3-1;84
1;2;Szabolcs Huszti;4-4-2;84
2;3;Szabolcs Huszti;4-4-2;84
3;4;Szabolcs Huszti;4-2-3-1;84
4;5;Szabolcs Huszti;4-2-3-1;84
5;6;Szabolcs Huszti;4-2-3-1;84
6;7;Szabolcs Huszti;4-2-3-1;84
7;8;Szabolcs Huszti;4-2-3-1;84
8;9;Szabolcs Huszti;4-2-3-1;84
9;10;Szabolcs Huszti;4-2-3-1;84
10;11;Gergő Jeremiás;3-5-2;84
11;12;Gergő Jeremiás;3-5-2;84
12;13;Joan Carrillo;4-4-2;84
13;14;Joan Carrillo;4-4-2;84
14;15;Joan Carrillo;4-4-2;84
15;16;Joan Carrillo;4-4-2;84
16;17;Joan Carrillo;4-4-2;84
17;18;Joan Carrillo;4-2-3-1;84
18;19;Joan Carrillo;4-2-3-1;84
19;20;Joan Carrillo;4-2-3-1;84
20;21;Joan Carrillo;4-2-3-1;84
21;22;Joan Carrillo;4-2-3-1;84
22;23;Joan Carrillo;4-2-3-1;84
23;24;Joan Carrillo;4-2-3-1;84
24;25;Joan Carrillo;4-2-3-1;84
25;26;Joan Carrillo;4-1-4-1;84
26;27;Joan Carrillo;4-2-3-1;84
27;28;Joan Carrillo;4-1-4-1;84
28;29;Joan Carrillo;4-1-4-1;84
29;30;Joan Carrillo;4-1-4-1;84
30;31;Joan Carrillo;4-1-4-1;84
31;32;Joan Carrillo;4-1-4-1;84
32;33;Joan Carrillo;4-1-4-1;84
