;jor;coach;system;teamid
0;1;Juan Ignacio Martínez;4-3-3;142
1;2;Juan Ignacio Martínez;4-4-2;142
2;3;Juan Ignacio Martínez;4-3-3;142
3;4;Juan Ignacio Martínez;4-3-3;142
4;5;Juan Ignacio Martínez;4-3-3;142
5;6;Juan Ignacio Martínez;4-4-2;142
6;7;Juan Ignacio Martínez;4-3-3;142
7;8;Juan Ignacio Martínez;4-1-4-1;142
8;9;Juan Ignacio Martínez;4-2-3-1;142
9;10;Juan Ignacio Martínez;4-1-4-1;142
10;11;Juan Ignacio Martínez;4-1-4-1;142
11;12;Juan Ignacio Martínez;4-3-3;142
12;13;Juan Ignacio Martínez;4-1-4-1;142
13;14;Juan Ignacio Martínez;4-4-2;142
14;15;Juan Ignacio Martínez;4-3-3;142
15;16;Juan Ignacio Martínez;4-1-4-1;142
16;17;Juan Ignacio Martínez;4-3-3;142
17;18;Juan Ignacio Martínez;4-2-3-1;142
18;19;Juan Ignacio Martínez;4-3-3;142
19;20;Juan Ignacio Martínez;4-2-3-1;142
20;21;Juan Ignacio Martínez;4-3-3;142
21;22;Juan Ignacio Martínez;3-1-4-2;142
22;23;Juan Ignacio Martínez;4-4-2;142
23;24;Juan Ignacio Martínez;4-3-3;142
24;25;Juan Ignacio Martínez;4-4-2;142
25;26;Juan Ignacio Martínez;4-3-3;142
26;27;Juan Ignacio Martínez;4-3-3;142
27;28;Juan Ignacio Martínez;4-3-3;142
28;29;Juan Ignacio Martínez;4-3-3;142
29;30;Juan Ignacio Martínez;4-2-3-1;142
30;31;Juan Ignacio Martínez;4-3-3;142
31;32;Juan Ignacio Martínez;4-3-3;142
32;33;Juan Ignacio Martínez;4-3-3;142
33;34;Juan Ignacio Martínez;4-3-3;142
34;35;Juan Ignacio Martínez;4-2-3-1;142
35;36;Juan Ignacio Martínez;4-2-3-1;142
36;37;Juan Ignacio Martínez;4-2-3-1;142
37;38;Juan Ignacio Martínez;4-3-3;142
38;39;Juan Ignacio Martínez;4-3-3;142
39;40;Juan Ignacio Martínez;4-3-3;142
40;41;Juan Ignacio Martínez;4-3-3;142
41;42;Juan Ignacio Martínez;4-2-3-1;142
