;jor;coach;system;teamid
0;1;Marinos Ouzounidis;4-2-3-1;40812
1;2;Laurentiu Reghecampf;4-2-3-1;40812
2;3;Laurentiu Reghecampf;4-3-3;40812
3;4;Laurentiu Reghecampf;4-3-3;40812
4;5;Laurentiu Reghecampf;4-3-3;40812
5;6;Laurentiu Reghecampf;4-3-3;40812
6;7;Laurentiu Reghecampf;4-3-3;40812
7;8;Laurentiu Reghecampf;4-4-2;40812
8;9;Laurentiu Reghecampf;4-3-3;40812
9;10;Laurentiu Reghecampf;4-3-3;40812
10;11;Laurentiu Reghecampf;4-3-3;40812
11;12;Laurentiu Reghecampf;4-3-3;40812
12;13;Laurentiu Reghecampf;4-3-3;40812
13;14;Laurentiu Reghecampf;4-3-3;40812
14;15;Laurentiu Reghecampf;4-2-3-1;40812
15;16;Laurentiu Reghecampf;4-3-3;40812
16;17;Laurentiu Reghecampf;4-3-3;40812
17;18;Laurentiu Reghecampf;3-4-3;40812
18;19;Laurentiu Reghecampf;3-4-3;40812
19;20;Laurentiu Reghecampf;4-3-3;40812
20;21;Laurentiu Reghecampf;4-4-2;40812
21;22;Laurentiu Reghecampf;4-2-3-1;40812
22;23;Laurentiu Reghecampf;4-2-3-1;40812
23;24;Laurentiu Reghecampf;4-4-2;40812
24;25;Laurentiu Reghecampf;4-4-2;40812
25;26;Laurentiu Reghecampf;4-4-2;40812
26;27;Laurentiu Reghecampf;4-4-2;40812
27;28;Laurentiu Reghecampf;4-4-2;40812
28;29;Laurentiu Reghecampf;4-4-2;40812
29;30;0;4-4-2;40812
