;jor;coach;system;teamid
0;1;Morten Jensen;4-3-3;239
1;2;Morten Jensen;4-3-3;239
2;3;Morten Jensen;4-3-3;239
3;4;Morten Jensen;3-5-2;239
4;5;Morten Jensen;4-3-3;239
5;6;Morten Jensen;4-3-3;239
6;7;Morten Jensen;3-5-2;239
7;8;Morten Jensen;4-3-3;239
8;9;Morten Jensen;4-3-3;239
9;10;Morten Jensen;4-3-3;239
10;11;Morten Jensen;3-5-2;239
11;12;Morten Jensen;3-5-2;239
12;13;Morten Jensen;3-5-2;239
13;14;Morten Jensen;3-5-2;239
14;15;Morten Jensen;3-5-2;239
15;16;Morten Jensen;4-3-3;239
16;17;Morten Jensen;4-3-3;239
17;18;Morten Jensen;4-3-3;239
18;19;Morten Jensen;4-3-3;239
19;20;Morten Jensen;4-3-3;239
20;21;Morten Jensen;4-3-3;239
21;22;Morten Jensen;3-5-2;239
22;23;Morten Jensen;3-5-2;239
23;24;Morten Jensen;4-3-3;239
24;25;Morten Jensen;3-5-2;239
25;26;Morten Jensen;3-5-2;239
26;27;Morten Jensen;3-5-2;239
27;28;Morten Jensen;3-5-2;239
28;29;Morten Jensen;3-5-2;239
29;30;Morten Jensen;3-5-2;239
