;jor;coach;system;teamid
0;1;Julio César Falcioni;4-2-3-1;1070
1;2;Julio César Falcioni;4-5-1;1070
2;3;Julio César Falcioni;4-3-3;1070
3;4;Julio César Falcioni;4-3-3;1070
4;5;Julio César Falcioni;4-1-4-1;1070
5;6;Julio César Falcioni;3-5-2;1070
6;7;Adrián Marini;4-4-2;1070
7;8;Sergio Rondina;4-4-2;1070
8;9;Sergio Rondina;4-3-2-1;1070
9;10;Sergio Rondina;4-4-1-1;1070
10;11;Sergio Rondina;4-4-2;1070
11;12;Sergio Rondina;3-4-2-1;1070
12;13;Sergio Rondina;4-3-1-2;1070
13;14;Sergio Rondina;4-4-2;1070
14;15;Adrián Marini;4-3-1-2;1070
15;16;Adrián Marini;4-4-2;1070
16;17;Adrián Marini;4-1-3-2;1070
17;18;Adrián Marini;4-4-2;1070
18;19;Adrián Marini;4-1-3-2;1070
19;20;Adrián Marini;4-2-3-1;1070
20;21;Adrián Marini;5-3-2;1070
21;22;Marcelo Saralegui;4-2-3-1;1070
22;23;Marcelo Saralegui;4-2-3-1;1070
23;24;Marcelo Saralegui;4-2-3-1;1070
24;25;Marcelo Saralegui;4-4-2;1070
25;26;Marcelo Saralegui;4-2-3-1;1070
26;27;Marcelo Saralegui;4-2-3-1;1070
