;jor;coach;system;teamid
0;1;Martin Svedik;4-2-3-1;5544
1;2;Martin Svedik;4-2-3-1;5544
2;3;Martin Svedik;4-2-3-1;5544
3;4;Martin Svedik;4-2-3-1;5544
4;5;Josef Mucha;4-2-3-1;5544
5;6;Martin Svedik;3-4-3;5544
6;7;Martin Svedik;3-4-3;5544
7;8;Martin Svedik;4-5-1;5544
8;9;Martin Svedik;4-5-1;5544
9;10;Martin Svedik;4-5-1;5544
10;11;Martin Svedik;4-5-1;5544
11;12;Martin Svedik;4-2-3-1;5544
12;13;Martin Svedik;4-2-3-1;5544
13;14;Martin Svedik;4-2-3-1;5544
14;15;Martin Svedik;4-2-3-1;5544
15;16;Martin Svedik;4-2-3-1;5544
16;17;Martin Svedik;4-2-3-1;5544
17;18;Martin Svedik;4-2-3-1;5544
18;19;Martin Svedik;4-2-3-1;5544
19;20;Martin Svedik;4-2-3-1;5544
20;21;Martin Svedik;4-3-3;5544
21;22;Martin Svedik;4-5-1;5544
22;23;Martin Svedik;4-2-3-1;5544
23;24;Martin Svedik;4-2-3-1;5544
24;25;Martin Svedik;4-2-3-1;5544
25;26;Martin Svedik;4-2-3-1;5544
26;27;Martin Svedik;4-2-3-1;5544
27;28;Martin Svedik;4-2-3-1;5544
28;29;Martin Svedik;4-2-3-1;5544
29;30;Martin Svedik;4-2-3-1;5544
