;jor;coach;system;teamid
0;1;Jordi Condom;3-4-3;2715
1;2;Jordi Condom;5-4-1;2715
2;3;Jordi Condom;4-4-2;2715
3;4;Jordi Condom;3-4-3;2715
4;5;Jordi Condom;3-4-3;2715
5;6;Jordi Condom;3-4-3;2715
6;7;Jordi Condom;3-4-3;2715
7;8;Jordi Condom;3-4-3;2715
8;9;Jordi Condom;4-4-2;2715
9;10;Jordi Condom;4-4-2;2715
10;11;Jordi Condom;4-4-2;2715
11;12;Jordi Condom;4-4-2;2715
12;13;Jordi Condom;3-4-3;2715
13;14;Jordi Condom;3-4-3;2715
14;15;Jordi Condom;3-4-1-2;2715
15;16;Jordi Condom;3-4-1-2;2715
16;17;Jordi Condom;3-4-3;2715
17;18;Jordi Condom;3-4-1-2;2715
18;19;Jordi Condom;3-4-3;2715
19;20;Jordi Condom;3-4-3;2715
20;21;Jordi Condom;4-4-2;2715
21;22;Jean-Louis Garcia;4-2-3-1;2715
22;23;Jean-Louis Garcia;5-4-1;2715
23;24;Jean-Louis Garcia;5-4-1;2715
24;25;Jean-Louis Garcia;3-4-3;2715
25;26;Jean-Louis Garcia;3-4-2-1;2715
26;27;Jean-Louis Garcia;5-4-1;2715
27;28;Jean-Louis Garcia;4-3-3;2715
28;29;Jean-Louis Garcia;3-4-3;2715
29;30;Jean-Louis Garcia;3-4-3;2715
30;31;Jean-Louis Garcia;3-4-3;2715
31;32;Jean-Louis Garcia;3-4-3;2715
32;33;Jean-Louis Garcia;3-4-3;2715
33;34;Jean-Louis Garcia;3-5-2;2715
