;jor;coach;system;teamid
0;1;Andrea Sottil;4-3-1-2;408
1;2;Andrea Sottil;4-3-1-2;408
2;3;Andrea Sottil;4-3-1-2;408
3;4;Andrea Sottil;4-3-1-2;408
4;5;Andrea Sottil;4-3-1-2;408
5;6;Andrea Sottil;4-3-1-2;408
6;7;Andrea Sottil;4-3-1-2;408
7;8;Andrea Sottil;4-3-1-2;408
8;9;Andrea Sottil;4-3-1-2;408
9;10;Andrea Sottil;4-3-1-2;408
10;11;Andrea Sottil;4-3-1-2;408
11;12;Andrea Sottil;4-3-1-2;408
12;13;Andrea Sottil;4-3-1-2;408
13;14;Andrea Sottil;4-3-1-2;408
14;15;Andrea Sottil;4-3-1-2;408
15;16;Andrea Sottil;4-3-1-2;408
16;17;Andrea Sottil;4-3-1-2;408
17;18;Andrea Sottil;4-3-1-2;408
18;19;Andrea Sottil;4-3-2-1;408
19;20;Andrea Sottil;4-3-1-2;408
20;21;Andrea Sottil;4-3-3;408
21;22;Andrea Sottil;4-3-1-2;408
22;23;Andrea Sottil;4-3-1-2;408
23;24;Andrea Sottil;4-3-1-2;408
24;25;Andrea Sottil;4-3-1-2;408
25;26;Andrea Sottil;4-3-1-2;408
26;27;Andrea Sottil;4-2-3-1;408
27;28;Andrea Sottil;4-2-3-1;408
28;29;Andrea Sottil;4-3-1-2;408
29;30;Andrea Sottil;4-3-1-2;408
30;31;Andrea Sottil;4-3-1-2;408
31;32;Andrea Sottil;4-3-1-2;408
32;33;Andrea Sottil;3-5-2;408
33;34;Andrea Sottil;4-3-1-2;408
34;35;Andrea Sottil;4-3-1-2;408
35;36;Andrea Sottil;4-3-3;408
36;37;Andrea Sottil;4-3-1-2;408
37;38;Andrea Sottil;4-3-1-2;408
