;jor;coach;system;teamid
0;1;Milan Djuricic;4-3-3;788
1;2;Milan Djuricic;4-2-3-1;788
2;3;Milan Djuricic;4-2-3-1;788
3;4;Milan Djuricic;4-2-3-1;788
4;5;Milan Djuricic;4-2-3-1;788
5;6;Milan Djuricic;4-2-3-1;788
6;7;Milan Djuricic;4-2-3-1;788
7;8;Milan Djuricic;4-2-3-1;788
8;9;Milan Djuricic;4-2-3-1;788
9;10;Milan Djuricic;4-3-3;788
10;11;Milan Djuricic;4-3-3;788
11;12;Milan Djuricic;4-2-3-1;788
12;13;Nikola Stojanovic;4-4-2;788
13;14;Milan Djuricic;4-3-3;788
14;15;Milan Djuricic;4-1-4-1;788
15;16;Milan Djuricic;4-2-3-1;788
16;17;Milan Djuricic;4-3-3;788
17;18;Milan Djuricic;4-2-3-1;788
18;19;Milan Djuricic;4-3-3;788
19;20;Milan Djuricic;4-3-3;788
20;21;Nikola Stojanovic;4-3-3;788
21;22;Ivan Stefanovic;4-2-3-1;788
22;23;Ivan Stefanovic;4-3-3;788
23;24;Ivan Stefanovic;4-3-3;788
24;25;Ivan Stefanovic;4-3-3;788
25;26;Ivan Stefanovic;4-3-3;788
26;27;Ivan Stefanovic;4-3-3;788
27;28;Ivan Stefanovic;4-3-3;788
28;29;Zoran Milinkovic;4-3-3;788
29;30;Zoran Milinkovic;4-3-3;788
