;jor;coach;system;teamid
0;1;Siniša Mihajlović;4-2-3-1;1025
1;2;Siniša Mihajlović;4-2-3-1;1025
2;3;Siniša Mihajlović;4-2-3-1;1025
3;4;Siniša Mihajlović;4-2-3-1;1025
4;5;Siniša Mihajlović;4-2-3-1;1025
5;6;Siniša Mihajlović;4-2-3-1;1025
6;7;Siniša Mihajlović;3-5-2;1025
7;8;Siniša Mihajlović;3-4-2-1;1025
8;9;Siniša Mihajlović;3-4-2-1;1025
9;10;Siniša Mihajlović;3-4-1-2;1025
10;11;Siniša Mihajlović;3-4-2-1;1025
11;12;Siniša Mihajlović;3-4-1-2;1025
12;13;Siniša Mihajlović;3-4-2-1;1025
13;14;Siniša Mihajlović;3-5-2;1025
14;15;Siniša Mihajlović;3-5-2;1025
15;16;Siniša Mihajlović;3-5-2;1025
16;17;Siniša Mihajlović;3-4-3;1025
17;18;Siniša Mihajlović;3-1-4-2;1025
18;19;Siniša Mihajlović;3-4-2-1;1025
19;20;Siniša Mihajlović;3-5-2;1025
20;21;Siniša Mihajlović;3-5-2;1025
21;22;Siniša Mihajlović;3-5-2;1025
22;23;Siniša Mihajlović;5-3-2;1025
23;24;Siniša Mihajlović;3-4-1-2;1025
24;25;Siniša Mihajlović;3-5-2;1025
25;26;Siniša Mihajlović;3-4-3;1025
26;27;Siniša Mihajlović;3-4-3;1025
27;28;Siniša Mihajlović;3-4-3;1025
28;29;Siniša Mihajlović;3-4-1-2;1025
29;30;Siniša Mihajlović;3-4-2-1;1025
30;31;Siniša Mihajlović;3-5-2;1025
31;32;Siniša Mihajlović;3-5-2;1025
32;33;Siniša Mihajlović;3-5-2;1025
33;34;Siniša Mihajlović;3-5-2;1025
34;35;Siniša Mihajlović;3-5-2;1025
35;36;Siniša Mihajlović;3-5-2;1025
36;37;Siniša Mihajlović;3-5-2;1025
37;38;Siniša Mihajlović;3-5-2;1025
